Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Charlotte County, Florida",178465,*****,160324,1079,11548,1275,124,204,1660,782,514,780,1328,678,2967,1327,459,489,2508,1097
"Citrus County, Florida",143621,*****,133360,1114,5412,641,261,360,2496,211,0,221,1051,1090,1041,606,213,418,828,467
"Clay County, Florida",208311,*****,166888,2908,21159,3614,51,79,5746,1308,397,458,4650,2358,9420,2673,400,459,9020,2503
"Collier County, Florida",365136,*****,321423,3624,26142,688,987,595,4794,671,0,221,7911,3601,3879,1381,964,598,2915,1248
"Columbia County, Florida",69299,*****,52890,785,13565,860,101,126,539,517,64,93,1315,876,825,623,0,221,825,623
"Duval County, Florida",926255,*****,560080,4079,271278,4138,2013,884,39936,2542,453,374,16293,3863,36202,5339,2866,981,33336,5302
"Escambia County, Florida",315187,*****,216766,1540,70316,2313,1608,754,9687,1155,96,149,3712,1461,13002,2720,752,460,12250,2714
"Flagler County, Florida",108310,*****,90171,1293,11765,1030,0,221,2830,261,0,221,2203,1274,1341,997,185,231,1156,940
"Hernando County, Florida",182835,*****,162269,2084,9823,1722,210,341,2262,674,0,221,2822,1637,5449,1715,665,562,4784,1475
"Highlands County, Florida",100917,*****,78733,2596,10396,1080,74,129,1361,417,0,221,8941,2646,1412,932,0,221,1412,932
"Hillsborough County, Florida",1376238,*****,971753,9236,228361,5828,4763,1600,54822,2237,1279,268,68366,8630,46894,6159,5705,1719,41189,6084
