Geography,Estimate; Total
"Linn County, Oregon",122849
"Marion County, Oregon",336316
"Multnomah County, Oregon",799766
"Polk County, Oregon",81823
"Umatilla County, Oregon",76456
"Washington County, Oregon",582779
"Yamhill County, Oregon",105035
"Adams County, Pennsylvania",102180
"Allegheny County, Pennsylvania",1225365
"Armstrong County, Pennsylvania",66486
"Beaver County, Pennsylvania",167429
"Berks County, Pennsylvania",414812
"Blair County, Pennsylvania",124650
"Bucks County, Pennsylvania",626399
"Butler County, Pennsylvania",186847
"Cambria County, Pennsylvania",134732
"Carbon County, Pennsylvania",63594
"Centre County, Pennsylvania",161464
"Chester County, Pennsylvania",516312
"Clearfield County, Pennsylvania",80596
"Columbia County, Pennsylvania",66420
"Crawford County, Pennsylvania",86257
"Cumberland County, Pennsylvania",248506
"Dauphin County, Pennsylvania",273707
"Delaware County, Pennsylvania",563402
"Erie County, Pennsylvania",276207
"Fayette County, Pennsylvania",132733
"Franklin County, Pennsylvania",153851
"Indiana County, Pennsylvania",86364
"Lackawanna County, Pennsylvania",211321
"Lancaster County, Pennsylvania",538500
"Lawrence County, Pennsylvania",87294
"Lebanon County, Pennsylvania",138863
"Lehigh County, Pennsylvania",363147
"Luzerne County, Pennsylvania",316383
"Lycoming County, Pennsylvania",115248
"Mercer County, Pennsylvania",112913
"Monroe County, Pennsylvania",166098
"Montgomery County, Pennsylvania",821725
"Northampton County, Pennsylvania",302294
"Northumberland County, Pennsylvania",92541
"Philadelphia County, Pennsylvania",1567872
"Schuylkill County, Pennsylvania",143573
"Somerset County, Pennsylvania",75061
"Washington County, Pennsylvania",207981
"Westmoreland County, Pennsylvania",355458
"York County, Pennsylvania",443744
"Kent County, Rhode Island",164614
"Newport County, Rhode Island",82784
"Providence County, Rhode Island",633673
"Washington County, Rhode Island",126288
"Aiken County, South Carolina",167458
"Anderson County, South Carolina",196569
"Beaufort County, South Carolina",183149
"Berkeley County, South Carolina",210898
"Charleston County, South Carolina",396484
"Darlington County, South Carolina",67234
"Dorchester County, South Carolina",153773
"Florence County, South Carolina",138742
"Greenville County, South Carolina",498766
"Greenwood County, South Carolina",70133
"Horry County, South Carolina",322342
"Lancaster County, South Carolina",89594
"Laurens County, South Carolina",66777
"Lexington County, South Carolina",286196
"Oconee County, South Carolina",76355
"Orangeburg County, South Carolina",87903
"Pickens County, South Carolina",122863
"Richland County, South Carolina",409549
"Spartanburg County, South Carolina",301463
"Sumter County, South Carolina",107396
"York County, South Carolina",258526
"Minnehaha County, South Dakota",187318
"Pennington County, South Dakota",109372
"Anderson County, Tennessee",75936
"Blount County, Tennessee",128670
"Bradley County, Tennessee",104490
"Davidson County, Tennessee",684410
"Greene County, Tennessee",68615
"Hamilton County, Tennessee",357738
"Knox County, Tennessee",456132
"Madison County, Tennessee",97663
"Maury County, Tennessee",89981
"Montgomery County, Tennessee",195734
"Putnam County, Tennessee",75931
"Robertson County, Tennessee",69165
"Rutherford County, Tennessee",308251
"Sevier County, Tennessee",96673
"Shelby County, Tennessee",934603
"Sullivan County, Tennessee",156667
"Sumner County, Tennessee",180063
"Washington County, Tennessee",127440
"Williamson County, Tennessee",219107
"Wilson County, Tennessee",132781
"Angelina County, Texas",87791
"Bastrop County, Texas",82733
"Bell County, Texas",340411
"Bexar County, Texas",1928680
"Bowie County, Texas",93860
"Brazoria County, Texas",354195
"Brazos County, Texas",220417
"Cameron County, Texas",422135
"Collin County, Texas",939585
"Comal County, Texas",134788
"Coryell County, Texas",74686
"Dallas County, Texas",2574984
"Denton County, Texas",806180
"Ector County, Texas",157462
"Ellis County, Texas",168499
"El Paso County, Texas",837918
"Fort Bend County, Texas",741237
"Galveston County, Texas",329431
"Grayson County, Texas",128235
"Gregg County, Texas",123745
"Guadalupe County, Texas",155265
"Harris County, Texas",4589928
"Harrison County, Texas",66534
"Hays County, Texas",204470
"Henderson County, Texas",79901
"Hidalgo County, Texas",849843
"Hunt County, Texas",92073
"Jefferson County, Texas",254679
"Johnson County, Texas",163274
"Kaufman County, Texas",118350
"Liberty County, Texas",81704
"Lubbock County, Texas",303137
"McLennan County, Texas",247934
"Midland County, Texas",162565
"Montgomery County, Texas",556203
"Nacogdoches County, Texas",65806
"Nueces County, Texas",361350
"Orange County, Texas",84964
"Parker County, Texas",129441
"Potter County, Texas",120832
"Randall County, Texas",132501
"Rockwall County, Texas",93978
"San Patricio County, Texas",67655
"Smith County, Texas",225290
"Tarrant County, Texas",2016872
"Taylor County, Texas",136535
"Tom Green County, Texas",118386
"Travis County, Texas",1199323
"Victoria County, Texas",92467
"Walker County, Texas",71484
"Webb County, Texas",271193
"Wichita County, Texas",131838
"Williamson County, Texas",528718
"Cache County, Utah",122753
"Davis County, Utah",342281
"Salt Lake County, Utah",1121354
"Utah County, Utah",592299
"Washington County, Utah",160245
"Weber County, Utah",247560
"Chittenden County, Vermont",161531
"Albemarle County, Virginia",106878
"Arlington County, Virginia",230050
"Augusta County, Virginia",74997
"Bedford County, Virginia",77960
"Chesterfield County, Virginia",339009
"Fairfax County, Virginia",1138652
"Fauquier County, Virginia",69069
"Frederick County, Virginia",84421
"Hanover County, Virginia",104392
"Henrico County, Virginia",326501
"James City County, Virginia",74404
"Loudoun County, Virginia",385945
"Montgomery County, Virginia",98602
"Prince William County, Virginia",455210
"Roanoke County, Virginia",94031
"Rockingham County, Virginia",79744
"Spotsylvania County, Virginia",132010
"Stafford County, Virginia",144361
"York County, Virginia",67976
"Alexandria city, Virginia",155810
"Chesapeake city, Virginia",237940
"Hampton city, Virginia",135410
"Lynchburg city, Virginia",80212
"Newport News city, Virginia",181825
"Norfolk city, Virginia",245115
"Portsmouth city, Virginia",95252
"Richmond city, Virginia",223170
"Roanoke city, Virginia",99660
"Suffolk city, Virginia",89273
"Virginia Beach city, Virginia",452602
"Benton County, Washington",193686
"Chelan County, Washington",76338
"Clallam County, Washington",74570
"Clark County, Washington",467018
"Cowlitz County, Washington",105160
"Franklin County, Washington",90160
"Grant County, Washington",93546
"Grays Harbor County, Washington",71628
"Island County, Washington",82636
"King County, Washington",2149970
"Kitsap County, Washington",264811
"Lewis County, Washington",77066
"Pierce County, Washington",861312
"Skagit County, Washington",123681
"Snohomish County, Washington",787620
"Spokane County, Washington",499072
"Thurston County, Washington",275222
"Whatcom County, Washington",216800
"Yakima County, Washington",249636
"Berkeley County, West Virginia",113525
"Cabell County, West Virginia",95987
"Harrison County, West Virginia",68400
"Kanawha County, West Virginia",186241
"Monongalia County, West Virginia",104622
"Raleigh County, West Virginia",76601
"Wood County, West Virginia",85643
"Brown County, Wisconsin",260401
"Dane County, Wisconsin",531273
"Dodge County, Wisconsin",88068
"Eau Claire County, Wisconsin",102965
"Fond du Lac County, Wisconsin",102144
"Jefferson County, Wisconsin",84625
"Kenosha County, Wisconsin",168183
"La Crosse County, Wisconsin",118122
"Manitowoc County, Wisconsin",79536
"Marathon County, Wisconsin",135603
"Milwaukee County, Wisconsin",951448
"Outagamie County, Wisconsin",184526
"Ozaukee County, Wisconsin",88314
"Portage County, Wisconsin",70447
"Racine County, Wisconsin",195140
"Rock County, Wisconsin",161620
"St. Croix County, Wisconsin",88029
"Sheboygan County, Wisconsin",115427
"Walworth County, Wisconsin",102959
"Washington County, Wisconsin",134296
"Waukesha County, Wisconsin",398424
"Winnebago County, Wisconsin",169886
"Wood County, Wisconsin",73107
"Laramie County, Wyoming",98136
"Natrona County, Wyoming",81039
