Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Lake County, Illinois",703047,530524,46836,1206,52572,310,52919,18680,3727,14953
"LaSalle County, Illinois",110642,104660,3061,102,647,101,494,1577,73,1504
"McHenry County, Illinois",307004,284322,3937,253,8478,0,3878,6136,69,6067
"McLean County, Illinois",172418,142803,14364,380,8635,0,1723,4513,1097,3416
"Macon County, Illinois",106550,83242,13359,262,1089,13,529,8056,149,7907
"Madison County, Illinois",265759,233639,23424,299,3169,0,1132,4096,87,4009
"Peoria County, Illinois",185006,135178,33901,618,7607,0,2033,5669,595,5074
"Rock Island County, Illinois",144784,116660,13890,778,3486,283,2819,6868,2429,4439
"St. Clair County, Illinois",262759,168589,77768,712,4473,78,4008,7131,437,6694
"Sangamon County, Illinois",197499,162397,25993,143,3568,124,719,4555,237,4318
"Tazewell County, Illinois",134385,128580,1854,311,1408,103,301,1828,385,1443
"Vermilion County, Illinois",78111,63731,10778,13,860,16,1285,1428,31,1397
"Will County, Illinois",689529,505732,76425,2016,38308,515,47269,19264,2789,16475
"Winnebago County, Illinois",285873,226518,35905,217,7285,140,5520,10288,693,9595
"Allen County, Indiana",370404,296773,42515,461,14669,102,4098,11786,776,11010
"Bartholomew County, Indiana",81402,68773,1234,38,5864,0,3791,1702,429,1273
"Clark County, Indiana",116031,102109,6608,79,457,0,1181,5597,0,5597
"Delaware County, Indiana",115603,101294,8952,226,1473,340,979,2339,234,2105
"Elkhart County, Indiana",203781,180922,11251,1040,2149,360,3346,4713,433,4280
"Floyd County, Indiana",76990,69860,3954,183,800,0,252,1941,161,1780
"Grant County, Indiana",66937,58979,4960,240,261,0,645,1852,166,1686
"Hamilton County, Indiana",316373,276282,11797,322,17484,0,2438,8050,479,7571
"Hendricks County, Indiana",160610,139891,13279,429,4479,0,809,1723,246,1477
"Howard County, Indiana",82568,72022,7651,308,271,77,1098,1141,60,1081
"Johnson County, Indiana",151982,138849,3880,416,5233,41,2338,1225,767,458
"Kosciusko County, Indiana",79092,75552,958,465,407,0,670,1040,0,1040
"Lake County, Indiana",485846,299056,117223,1531,6144,95,48308,13489,5023,8466
"LaPorte County, Indiana",110015,91255,11928,610,889,63,2249,3021,781,2240
"Madison County, Indiana",129296,113364,9062,431,554,0,1179,4706,459,4247
"Marion County, Indiana",941229,577828,260219,2924,27885,295,39113,32965,3740,29225
"Monroe County, Indiana",145496,125427,4068,310,9461,0,848,5382,178,5204
"Porter County, Indiana",167791,153318,5280,224,2055,129,1705,5080,840,4240
"St. Joseph County, Indiana",269141,209203,35405,1880,6408,190,9023,7032,389,6643
"Tippecanoe County, Indiana",188059,152857,9666,268,15385,200,6020,3663,482,3181
"Vanderburgh County, Indiana",181721,155227,15804,310,1990,1210,1808,5372,248,5124
"Vigo County, Indiana",107931,94021,6808,427,2044,47,686,3898,327,3571
"Wayne County, Indiana",66568,59648,3125,24,718,0,1135,1918,0,1918
"Black Hawk County, Iowa",132904,113334,12012,802,3374,719,854,1809,49,1760
"Dallas County, Iowa",84516,76654,1003,102,3579,0,637,2541,87,2454
"Dubuque County, Iowa",97003,90491,3496,74,1198,302,304,1138,68,1070
"Johnson County, Iowa",146547,119612,10314,0,10102,0,3928,2591,287,2304
"Linn County, Iowa",221661,198263,12247,239,5323,132,529,4928,157,4771
"Polk County, Iowa",474045,396575,31968,1315,22224,150,8740,13073,864,12209
"Pottawattamie County, Iowa",93582,88124,1824,630,821,0,1344,839,0,839
"Scott County, Iowa",172474,147577,14802,554,4441,0,2285,2815,532,2283
"Story County, Iowa",97090,84190,1423,178,8417,0,340,2542,46,2496
"Woodbury County, Iowa",102779,87253,3720,723,3154,749,3083,4097,466,3631
"Butler County, Kansas",67025,62612,1679,704,269,80,69,1612,124,1488
"Douglas County, Kansas",119440,97894,4866,1800,6249,26,2960,5645,321,5324
"Johnson County, Kansas",584451,505785,25393,1260,27644,332,5627,18410,995,17415
"Leavenworth County, Kansas",80204,64838,7435,463,1697,295,3120,2356,717,1639
"Riley County, Kansas",73343,60227,4370,182,3820,264,998,3482,434,3048
"Sedgwick County, Kansas",511995,400297,42474,4630,21236,0,18824,24534,2027,22507
"Shawnee County, Kansas",178146,143411,14949,1773,2374,127,9288,6224,590,5634
"Wyandotte County, Kansas",163831,96425,37308,1335,6063,0,15480,7220,1063,6157
"Boone County, Kentucky",128536,117023,2966,426,3410,0,1366,3345,0,3345
"Campbell County, Kentucky",92211,86613,3601,94,587,0,245,1071,0,1071
"Christian County, Kentucky",72351,51567,16784,251,420,433,1227,1669,0,1669
"Daviess County, Kentucky",99674,91073,5107,8,1614,0,202,1670,0,1670
"Fayette County, Kentucky",318449,238917,46097,1080,11699,201,10307,10148,1433,8715
"Hardin County, Kentucky",107316,84280,13475,175,1851,275,2024,5236,54,5182
"Jefferson County, Kentucky",765352,551075,165658,1477,21038,409,5410,20285,1653,18632
"Kenton County, Kentucky",164945,149375,7334,241,1922,0,1667,4406,224,4182
"Madison County, Kentucky",89547,81935,4485,153,1039,0,455,1480,136,1344
"Oldham County, Kentucky",65560,60007,1848,361,834,0,523,1987,49,1938
"Warren County, Kentucky",125532,103029,11775,642,4718,0,2655,2713,694,2019
"Bossier Parish, Louisiana",126057,91878,28446,275,1906,220,773,2559,279,2280
"Caddo Parish, Louisiana",248851,114096,123912,552,3212,0,3470,3609,257,3352
"Calcasieu Parish, Louisiana",200601,140157,50582,747,2284,0,2541,4290,315,3975
"East Baton Rouge Parish, Louisiana",447037,210180,205707,419,14660,0,8592,7479,270,7209
"Iberia Parish, Louisiana",73273,43772,23324,269,1862,0,2073,1973,173,1800
"Jefferson Parish, Louisiana",436523,271283,117081,1899,18643,0,18732,8885,2337,6548
"Lafayette Parish, Louisiana",241398,168941,61221,401,4038,0,1594,5203,122,5081
"Lafourche Parish, Louisiana",98305,77516,13471,2473,504,73,2617,1651,70,1581
"Orleans Parish, Louisiana",391495,133434,233836,434,11721,97,4750,7223,364,6859
"Ouachita Parish, Louisiana",156983,94141,58969,203,1613,0,439,1618,255,1363
"Rapides Parish, Louisiana",132424,84072,42337,701,2230,0,419,2665,143,2522
"St. Tammany Parish, Louisiana",253602,210347,27933,1660,3793,274,3516,6079,374,5705
