,Geography,Total; Estimate; All households,Mean income (dollars); Estimate; All households,Total; Estimate; All households - With earnings,Mean income (dollars); Estimate; All households - With earnings,"Total; Estimate; All households - With interest, dividends, or net rental income","Mean income (dollars); Estimate; All households - With interest, dividends, or net rental income",Total; Estimate; All households - With Social Security income,Mean income (dollars); Estimate; All households - With Social Security income,Total; Estimate; All households - With Supplemental Security Income (SSI),Mean income (dollars); Estimate; All households - With Supplemental Security Income (SSI),Total; Estimate; All households - With cash public assistance income,Mean income (dollars); Estimate; All households - With cash public assistance income,Total; Estimate; All households - With retirement income,Mean income (dollars); Estimate; All households - With retirement income,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Mean income (dollars); Estimate; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Mean income (dollars); Estimate; White alone, not Hispanic or Latino",Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Individual income in the past 12 months
274,"Oldham County, Kentucky",21180,109184,86.7,108250,24.0,14477,24.6,21701,2.1,8622,0.1,N,16.8,31520,17066,124152,N,N,N,N,N,N,N,N,N,N,N,N,65560,36536,91.5,37884,2.8,N,0.6,13879,1.3,24894,0.0,N,0.8,N,3.0,15747,3.9,27917,88.3,38287,30.6,30.7,21.8
275,"Warren County, Kentucky",47444,66862,80.9,65964,15.3,18725,27.6,16464,3.6,10209,0.7,N,20.4,20433,28577,78766,12.7,36087,37.9,53279,30.0,110838,10.9,105147,7.7,112286,0.9,77645,125532,25916,82.1,28424,9.4,15491,0.5,N,3.8,17373,0.0,N,2.1,13729,2.2,7907,5.2,14787,79.1,28901,22.5,21.0,18.5
276,"Ascension Parish, Louisiana",40950,89121,82.7,92049,18.1,11982,26.1,17655,3.5,10588,1.7,2147,18.4,27997,30197,100212,11.7,35294,28.7,75788,42.1,134507,9.2,84655,6.6,126406,1.8,94541,121587,31266,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,37.6,34.6,32.1
277,"Bossier Parish, Louisiana",47458,63752,77.8,62417,15.5,11828,26.9,15925,7.2,8997,2.1,3488,20.4,31256,31326,76956,16.1,39241,38.0,60468,30.0,105799,8.2,81233,6.6,124564,1.0,93640,126057,24915,72.9,27041,22.6,18085,0.2,N,1.5,27793,0.2,N,0.6,24283,2.0,N,6.6,11950,67.2,28452,50.9,49.7,42.7
278,"Caddo Parish, Louisiana",96532,60857,71.1,63486,18.9,16435,31.8,16766,9.1,8192,3.3,2683,18.7,28208,57438,74265,18.1,39814,38.6,59593,27.2,110526,10.3,63557,3.8,129480,1.9,129067,248851,25088,45.8,36144,49.8,15742,0.2,N,1.3,30421,0.0,N,1.4,2389,1.5,11415,2.8,24316,44.8,36288,48.9,48.9,40.3
279,"Calcasieu Parish, Louisiana",77029,62016,73.5,69350,13.2,10950,29.6,15426,7.7,8378,1.4,3260,14.9,20554,49600,73697,17.5,30339,38.6,55447,25.8,109135,7.8,66201,7.5,124753,2.8,155178,200601,24427,69.9,27503,25.2,17900,0.4,10321,1.1,18697,0.0,N,1.3,11306,2.1,14158,3.3,17010,68.0,27697,48.3,47.9,39.6
280,"East Baton Rouge Parish, Louisiana",163764,76485,78.6,78182,22.8,18630,25.5,17749,5.8,9654,0.8,2066,18.1,26268,97684,95046,14.1,47771,35.6,78295,29.4,129788,11.5,73152,7.6,154933,1.8,114655,447037,30098,47.0,41029,46.0,19754,0.1,19044,3.3,32971,0.0,N,1.9,19286,1.7,14824,4.0,29341,45.0,41129,43.2,43.3,34.9
281,"Iberia Parish, Louisiana",26240,54106,74.7,56537,13.9,15145,34.4,15857,9.5,10057,1.4,2226,14.9,16568,19211,59424,18.9,28663,43.4,48239,19.0,85130,6.9,50768,8.4,123211,3.4,89853,73273,19598,59.7,24504,31.8,12684,0.4,N,2.5,6392,0.0,N,2.8,15964,2.7,6427,4.1,17219,58.9,24530,35.1,33.1,24.9
282,"Jefferson Parish, Louisiana",170710,70728,78.2,71607,17.4,20573,32.7,17626,5.4,8992,1.2,2325,17.2,22952,106145,83719,13.4,37926,37.6,69198,27.1,109604,11.1,91139,7.1,130682,3.6,95167,436523,29356,62.1,34868,26.8,19236,0.4,13538,4.3,29421,0.0,N,4.3,16790,2.0,24137,14.5,20300,53.0,36800,40.3,42.5,33.0
283,"Lafayette Parish, Louisiana",89130,73667,80.5,76870,18.2,20732,24.3,16287,3.6,8434,1.5,5401,11.2,22274,55317,87349,12.8,38858,39.5,72956,30.1,122298,10.8,81814,6.1,116388,0.8,115705,241398,29061,70.0,34455,25.4,16413,0.2,23521,1.7,26063,0.0,N,0.7,N,2.2,6141,4.6,18317,65.8,35544,33.0,33.7,26.7
284,"Lafourche Parish, Louisiana",37199,63414,75.4,68778,17.3,8923,33.9,16979,4.5,8232,1.1,N,15.5,18721,24601,73490,15.2,32055,38.8,57063,28.7,106638,9.2,61534,7.2,127482,0.9,112444,98305,25017,78.9,28002,13.7,11663,2.5,22666,0.5,N,0.1,N,2.7,16791,1.7,7636,4.4,17923,76.8,28340,34.8,36.5,26.3
285,"Livingston Parish, Louisiana",47479,75554,79.0,78330,11.4,N,30.8,17539,5.2,10549,1.1,1362,17.2,23107,34106,83117,16.2,31823,38.8,80840,28.9,101865,7.3,72898,7.5,135475,1.4,126382,140138,27342,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3.6,10973,88.0,28975,38.7,42.0,29.5
286,"Orleans Parish, Louisiana",154355,67259,75.2,72090,16.5,27217,27.4,14590,8.9,8222,2.1,4511,12.8,23328,75729,90009,16.1,36635,40.2,71123,26.6,144167,9.9,70164,4.8,162905,2.3,99484,391495,29183,34.1,51513,59.7,17000,0.1,13185,3.0,27519,0.0,N,1.2,18974,1.8,21593,5.6,29165,30.8,53288,33.7,40.6,30.1
287,"Ouachita Parish, Louisiana",54349,55761,72.2,61325,11.7,7511,34.1,15655,9.0,9634,0.8,1099,20.4,17173,35009,65906,16.8,26861,43.0,48953,25.9,110998,7.7,52109,4.3,130923,2.3,84309,156983,20957,60.0,27392,37.6,10795,0.1,N,1.0,30125,0.0,N,0.3,N,1.0,8759,2.2,14742,58.3,27694,31.6,31.6,24.8
288,"Rapides Parish, Louisiana",47745,64374,74.5,66983,12.3,8820,34.9,16049,8.0,7618,1.1,9280,23.8,24271,32425,73237,18.3,35612,42.0,57737,23.9,108924,9.0,105116,5.8,109684,1.0,64536,132424,24764,63.5,27854,32.0,16667,0.5,11199,1.7,N,0.0,N,0.3,16298,2.0,22458,3.1,9526,61.2,28588,34.3,34.0,26.7
289,"St. Landry Parish, Louisiana",30302,47493,64.6,56584,7.7,11570,35.1,16006,10.5,7787,0.4,N,12.9,22775,20724,56965,24.3,27867,35.4,40027,27.0,91313,8.6,65398,4.0,134547,0.7,51502,83883,17693,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,32.8,36.7,27.6
290,"St. Tammany Parish, Louisiana",92205,84610,77.7,87177,22.7,18525,32.7,17389,6.4,10346,0.6,4528,17.9,28132,64876,99047,15.5,47743,30.8,79404,35.3,134521,8.7,77788,8.1,130868,1.6,144380,253602,32010,82.9,34330,11.0,21182,0.7,21984,1.5,25853,0.1,N,1.4,24594,2.4,13813,5.5,23887,78.9,34886,29.9,31.2,24.2
291,"Tangipahoa Parish, Louisiana",47756,63700,77.6,66632,14.7,12967,31.6,15454,12.3,8904,1.2,3535,14.5,20686,33369,73087,14.1,29750,42.1,49837,28.6,105718,7.8,66255,6.9,175923,0.5,75201,130710,24270,67.1,28552,28.7,15840,0.4,32670,0.6,25194,0.0,N,0.4,N,2.9,10740,4.2,25612,63.2,28671,28.9,31.9,23.0
292,"Terrebonne Parish, Louisiana",40102,65676,78.5,68558,15.4,16096,32.5,17422,5.5,9741,1.1,N,11.1,19620,27840,72846,16.1,27024,41.1,76298,25.5,93260,10.8,63576,4.0,119564,2.6,67510,113220,24105,70.6,28307,20.2,12499,5.6,21119,0.5,18838,0.0,N,1.3,16362,1.8,6142,5.2,15777,66.9,29050,44.6,43.0,33.3
293,"Androscoggin County, Maine",44917,61439,77.0,61607,19.4,16117,32.8,17469,7.5,9418,3.4,1643,17.7,16906,27677,72167,14.3,37792,36.0,56998,35.8,94878,5.9,62565,6.1,121033,1.9,63011,107319,25879,92.2,26862,3.2,14738,0.2,N,1.1,24850,0.0,N,0.0,N,3.3,10706,1.8,21150,91.0,27057,24.4,21.6,17.9
294,"Aroostook County, Maine",27514,53954,63.6,60895,17.1,10540,41.9,16662,9.0,10392,4.8,3656,21.1,18330,17531,66404,23.4,37137,29.2,55579,32.8,82760,4.7,58581,7.8,123857,2.1,92635,67959,23434,95.0,23901,1.3,16279,1.3,7167,0.4,22047,0.0,N,0.1,N,1.9,17357,1.1,12955,94.4,24001,38.6,39.5,33.5
295,"Cumberland County, Maine",118049,86255,78.8,88369,26.7,19559,29.8,18980,5.4,9399,1.7,3010,16.9,25127,68566,105902,12.9,62909,26.8,85874,41.8,126089,7.1,76116,9.3,158099,2.1,93712,292041,36397,92.0,37650,2.9,12097,0.3,36118,2.1,21127,0.0,N,0.2,40954,2.4,30825,2.0,23550,90.6,37836,30.6,31.7,23.9
296,"Kennebec County, Maine",47791,64429,73.1,64457,21.6,16711,35.3,16985,8.0,9331,3.6,3143,24.1,22041,29339,79158,18.0,51308,32.2,52836,32.9,111114,6.2,54711,9.9,119983,0.9,125670,120569,26956,95.6,27630,1.1,5894,0.5,12307,1.1,26045,0.2,N,0.2,N,1.4,8336,1.5,13938,94.8,27692,24.9,25.5,20.6
297,"Penobscot County, Maine",60195,62849,75.2,61907,19.4,9056,35.8,17833,6.8,10096,3.8,2535,19.6,30156,37586,72102,17.4,37198,30.6,50172,34.5,97851,7.3,62909,7.5,127304,2.7,86203,151806,26306,94.6,26773,0.5,N,1.3,13969,0.9,46601,0.0,N,0.2,N,2.4,12800,1.3,9155,94.0,26857,28.9,27.8,24.2
298,"York County, Maine",82469,77704,76.4,76395,28.5,19886,36.5,18353,5.5,9082,4.4,1680,21.1,22164,52971,89969,14.3,44587,28.0,72529,39.3,112428,8.4,78510,7.6,131214,2.4,106011,202343,32835,95.8,33326,1.2,11342,0.0,N,2.1,29602,0.0,N,0.1,N,0.8,17513,1.6,23215,94.4,33500,27.9,27.4,22.7
299,"Allegany County, Maryland",27608,55306,70.0,56425,19.4,5103,40.3,19828,3.7,9888,2.4,2933,24.2,20266,16904,68831,23.4,47009,35.8,58035,25.9,92853,6.1,73120,7.3,102339,1.5,70381,72130,21920,88.5,23839,8.8,6069,0.2,N,0.9,5772,0.0,N,0.1,N,1.5,11808,1.7,14016,87.1,23948,31.5,31.7,23.1
300,"Anne Arundel County, Maryland",206956,117437,84.3,115811,26.3,15522,26.8,20564,3.4,10168,2.0,2722,24.0,35421,147066,131436,9.9,71325,27.9,97900,36.5,162634,11.8,115194,11.1,185383,2.7,126145,568346,43086,73.2,47576,16.1,33382,0.2,66295,3.6,32756,0.0,N,2.4,24529,4.5,21956,7.5,27868,69.0,48442,31.5,31.0,23.8
301,"Baltimore County, Maryland",312921,93346,79.6,94949,22.8,16525,30.6,19805,5.2,9121,2.2,2717,21.7,27421,203343,110334,11.6,58696,31.5,83426,32.9,145683,11.6,95368,9.2,160398,3.2,108727,831026,36545,61.7,40392,28.7,31393,0.3,51135,6.0,30659,0.1,47489,0.8,16771,2.6,19258,5.3,19535,57.9,41785,42.4,43.4,35.4
302,"Calvert County, Maryland",32434,115072,83.3,113267,25.0,9339,31.6,19171,3.1,10446,5.0,4429,31.7,32391,26104,117030,14.0,67154,32.1,88951,33.5,149778,10.8,100451,8.6,185212,1.0,215988,91251,41011,80.7,42985,13.0,35305,0.0,N,1.9,32864,0.0,N,1.2,29354,3.3,23944,3.7,26412,78.4,43266,33.3,34.3,24.5
303,"Carroll County, Maryland",61661,107119,80.7,108417,25.4,15743,32.7,20161,3.6,7919,1.6,2938,25.2,28870,45291,121192,12.3,68982,24.8,98122,36.6,142083,9.3,93075,14.4,165748,2.6,147942,167656,39658,91.8,40598,3.4,30124,0.2,54513,1.8,42671,0.1,N,0.3,N,2.4,17505,3.4,29823,89.4,40704,28.9,30.4,21.9
304,"Cecil County, Maryland",37296,89209,81.3,87966,17.9,17339,30.7,20725,5.2,10254,2.4,2703,24.6,25044,26636,98356,12.2,43378,27.8,81156,32.3,121087,13.0,100459,11.7,126133,3.0,119558,102603,33412,87.3,35516,7.2,21729,0.0,N,1.5,25638,0.0,N,1.7,20251,2.2,3798,4.3,24917,85.4,35539,33.0,34.8,25.7
305,"Charles County, Maryland",55929,108865,83.4,108594,15.6,11825,24.6,17077,4.2,11059,1.6,1813,27.2,37599,40149,116569,10.8,52206,29.0,89756,30.5,150624,14.0,94194,11.4,178119,4.3,128416,157705,39171,45.6,42474,45.2,36858,0.2,N,2.8,53744,0.0,N,0.7,63265,5.5,20311,5.5,28980,41.6,43639,45.3,46.7,34.1
306,"Frederick County, Maryland",89800,108353,83.7,109965,25.1,13602,26.6,19708,4.1,9519,1.7,N,19.8,31117,66425,120768,8.5,68708,28.7,93359,39.6,146146,9.4,84607,11.0,174103,2.8,112587,247591,40119,81.1,42948,10.4,26858,0.5,68930,4.7,31324,0.0,N,0.9,24339,2.4,19499,9.1,23047,74.3,44776,30.2,30.6,22.9
307,"Harford County, Maryland",91813,99781,80.6,98952,23.6,21328,31.2,19811,4.5,9850,1.6,2681,24.7,27596,64751,115033,11.4,61583,29.3,85820,35.9,141363,10.5,109605,10.7,169382,2.3,113145,251032,37682,78.9,39799,13.3,31850,0.2,28437,2.3,43582,0.0,N,1.2,29687,4.1,15134,4.4,27884,76.7,40000,32.1,32.2,23.6
308,"Howard County, Maryland",112542,144125,88.1,140773,33.0,13124,23.3,21963,2.9,8452,1.6,3100,20.0,46061,83880,161620,6.9,90511,29.0,121035,41.7,195041,8.6,115261,11.7,221609,2.2,147036,317233,52091,58.7,58238,18.3,38955,0.1,N,18.0,52668,0.0,N,0.9,30912,3.9,25184,6.6,33191,53.3,60915,29.9,30.8,24.1
309,"Montgomery County, Maryland",373346,135151,84.8,133327,31.9,22724,23.8,20490,3.2,10225,1.3,2333,17.7,47756,260207,157802,8.8,97460,27.1,124257,39.9,190667,9.3,133832,11.3,199860,3.6,123319,1043863,49655,55.1,61966,18.3,32323,0.2,47618,14.8,47949,0.0,N,7.4,19894,4.2,22428,19.1,24923,44.5,69771,30.4,31.4,24.2
310,"Prince George's County, Maryland",307816,93945,85.8,91253,14.4,12294,23.4,16803,3.8,9608,2.4,2630,22.5,36252,198570,104806,8.2,61665,31.4,69640,25.9,141837,16.4,94467,10.8,157064,7.3,119370,908049,33974,17.6,38043,62.9,36148,0.4,25145,4.2,36025,0.0,N,11.7,17415,3.1,27970,17.8,18410,13.0,44049,45.1,48.9,37.6
311,"St. Mary's County, Maryland",41368,91785,81.5,91439,23.4,8960,24.6,18608,3.3,7022,4.9,1746,25.6,29668,27781,104253,N,N,N,N,N,N,N,N,N,N,N,N,112587,34694,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5.0,27269,74.9,37751,26.0,29.7,21.2
312,"Washington County, Maryland",55824,71499,72.8,74225,19.9,17075,36.8,17590,6.6,11087,3.2,4874,23.7,22018,36383,85062,17.9,56162,33.9,62813,28.2,110934,8.8,75161,7.6,153124,3.6,117302,150292,27540,83.9,29944,10.7,12643,0.2,N,1.3,28236,0.2,N,0.2,N,3.5,15643,4.7,14699,79.8,30843,31.0,32.9,24.1
313,"Wicomico County, Maryland",36774,65237,80.5,64518,16.7,11560,33.4,16831,6.6,8364,2.8,N,21.1,18774,23510,77597,13.0,40685,35.0,50776,31.9,110334,9.8,72426,8.9,121516,1.5,101622,102577,25265,67.3,28402,25.4,19233,0.0,N,3.4,27819,0.1,N,0.9,14330,2.8,2885,5.1,8470,63.3,29746,49.1,49.1,39.7
314,"Baltimore city, Maryland",240761,69831,74.4,76332,13.4,19479,28.1,15847,10.0,9478,4.6,3358,16.4,22667,120638,83839,14.6,31182,36.5,58627,23.2,150873,17.9,78337,4.5,130601,3.3,90542,614664,29449,30.8,46173,62.5,21266,0.3,19158,2.5,39533,0.1,N,1.5,19239,2.3,25858,5.1,20875,27.5,48857,46.2,51.9,39.6
315,"Barnstable County, Massachusetts",92582,91777,69.4,90863,31.9,24923,44.6,20769,5.6,10215,2.3,4377,29.1,30233,57923,110334,20.4,68709,28.0,109329,28.3,134663,11.9,98646,9.1,142920,2.3,125312,214276,40874,91.6,42047,2.4,20241,0.4,30932,1.4,64949,0.5,N,1.3,19702,2.4,20019,2.9,22749,89.5,42429,34.1,35.5,28.2
316,"Berkshire County, Massachusetts",54204,76180,74.0,73800,28.9,20298,41.3,18133,7.0,9099,2.2,4196,23.0,26388,32036,94632,18.4,57239,27.7,77879,30.4,129239,12.1,73968,9.2,126776,2.1,120660,126903,33130,91.9,34683,2.7,14310,0.2,N,1.6,26053,0.1,N,0.9,N,2.5,11961,4.3,17567,89.0,35112,37.6,42.8,31.7
317,"Bristol County, Massachusetts",214232,84886,76.2,89591,23.7,15770,34.1,17558,8.0,10144,4.1,2954,18.7,24261,141853,99798,15.1,42964,29.8,69726,31.4,134615,10.2,97625,11.1,154162,2.5,131931,558324,33411,84.0,36068,4.2,19528,0.0,N,2.4,35547,0.1,N,6.9,14347,2.4,17893,7.6,13987,81.9,36432,46.0,46.2,36.4
318,"Essex County, Massachusetts",289817,100606,78.1,106478,25.5,20620,31.3,18176,6.7,9291,4.1,2717,16.9,27349,190932,121480,12.3,54696,27.6,92237,33.9,158635,11.0,93384,11.4,170506,3.9,151082,779018,38819,81.6,42083,4.0,28576,0.2,24014,3.5,36899,0.0,N,8.2,19206,2.6,17821,20.0,18055,71.4,45657,40.0,40.7,33.6
319,"Franklin County, Massachusetts",30868,77060,77.9,72890,25.8,10942,36.6,18354,7.0,9153,2.3,4118,20.0,43358,18313,93769,14.7,61580,30.1,63622,34.7,112105,8.3,80585,10.6,164895,1.6,158371,70382,34129,93.3,34946,1.0,22561,0.4,37060,1.0,42760,0.4,N,0.8,16384,3.1,16154,3.8,16045,91.0,35329,32.0,30.2,24.4
320,"Hampden County, Massachusetts",178623,69278,74.3,73432,17.0,15363,32.7,16858,11.4,8994,3.7,4430,17.7,22089,114853,81043,16.4,34818,34.3,62196,25.2,115337,10.7,76841,10.1,132744,3.3,100558,468467,27387,82.8,29368,8.7,20472,0.2,29341,2.2,23258,0.0,N,3.2,11648,2.8,11505,24.6,13413,63.5,34098,36.3,37.4,31.2
321,"Hampshire County, Massachusetts",58167,85559,76.0,86966,27.0,21144,34.0,17749,5.5,10180,1.7,3234,19.3,29781,33507,104326,14.0,72064,28.1,71224,35.5,125629,8.4,90880,9.8,174026,4.2,117168,161816,31800,88.5,33933,2.4,24339,0.0,N,4.5,13825,0.2,N,0.7,7728,3.7,12680,5.6,13091,83.8,35045,35.8,32.8,31.6
322,"Middlesex County, Massachusetts",593437,122927,82.9,126348,29.5,22360,26.8,19992,4.5,10806,1.5,4168,14.8,29880,389397,146293,10.0,59033,25.5,115549,39.2,185306,10.0,111166,12.0,188752,3.3,137459,1589774,46847,76.8,50733,5.4,25960,0.2,28512,11.8,42972,0.0,94281,3.3,23701,2.5,22277,7.9,24442,72.5,52171,34.6,35.4,29.0
323,"Norfolk County, Massachusetts",260609,130123,80.4,134702,31.5,28158,30.0,19441,4.1,9785,1.5,4682,17.5,29815,175811,157018,10.6,61790,26.4,136171,37.2,185805,10.0,129633,12.7,214419,3.2,167450,697181,49317,78.4,53679,6.6,28790,0.1,N,10.7,38802,0.0,N,1.8,23144,2.3,27889,4.4,34425,75.6,54227,37.9,39.6,29.8
324,"Plymouth County, Massachusetts",184577,103580,79.4,106145,26.1,19124,33.8,19391,4.7,9611,2.2,3558,20.9,28077,128347,120933,11.3,53860,24.0,89804,35.7,155297,13.3,96598,12.3,166627,3.3,132598,513565,38750,83.7,41841,8.9,23395,0.1,29272,1.2,37604,0.0,N,3.9,20548,2.0,15283,3.8,19007,81.7,42341,40.5,41.6,33.4
325,"Suffolk County, Massachusetts",306790,93319,80.5,99628,21.1,25151,21.3,15115,8.2,9313,3.6,3669,9.5,29958,150876,108529,9.7,43821,32.3,67351,27.9,173427,15.2,95112,9.1,156575,5.9,93730,784230,38481,55.1,50091,22.8,24124,0.3,25721,8.8,31582,0.0,N,5.4,18707,7.5,19877,22.5,20166,45.6,55628,40.7,45.0,34.9
326,"Worcester County, Massachusetts",304833,89825,79.0,95907,19.4,14737,30.4,17954,6.1,9627,2.6,3642,15.8,24142,193716,109319,12.6,46671,27.4,77498,35.2,141408,10.3,85877,11.8,173250,2.7,114710,819589,34757,83.3,36794,4.9,22862,0.2,21913,4.9,34589,0.0,11461,4.1,19726,2.6,17023,11.0,17660,77.4,38270,34.0,34.1,27.4
327,"Allegan County, Michigan",41995,69842,79.7,68788,18.3,12656,33.0,20755,4.2,9371,1.3,1334,20.0,20958,30810,79665,14.5,57864,29.8,61420,35.7,92965,6.9,72417,10.7,115753,2.3,100606,115548,26164,94.1,26608,1.3,14620,0.3,60548,0.4,29260,0.0,N,0.9,35253,3.2,11781,7.3,17536,88.6,27236,41.5,40.8,31.3
328,"Bay County, Michigan",43876,60261,71.6,62157,19.9,10610,38.5,18399,7.5,8444,2.7,1464,25.3,18264,28782,71388,20.7,44333,31.8,48261,29.6,100911,9.3,86817,7.5,106190,1.2,85208,104747,25427,94.6,25904,2.3,17760,0.2,N,0.3,N,0.0,N,0.6,18688,2.0,13304,5.2,15941,90.1,26422,38.4,37.0,31.2
329,"Berrien County, Michigan",62538,67902,74.1,68044,22.4,20097,38.5,19506,6.6,9191,1.9,3954,20.2,18975,39975,83495,16.3,49410,33.7,69373,29.8,113876,11.2,61416,7.3,124734,1.7,127843,154010,27834,78.2,31676,14.3,12022,0.3,17377,1.9,37369,0.0,N,1.6,8126,3.7,12035,5.3,13317,75.2,32334,36.4,38.0,30.0
330,"Calhoun County, Michigan",52888,61465,72.3,61681,16.9,22858,36.5,18308,6.4,8920,3.0,1704,24.8,19200,32715,74099,19.3,53621,33.0,54826,29.2,102755,9.3,56072,7.5,123783,1.6,67210,134386,25252,82.0,27241,10.5,18865,0.4,17753,2.0,16884,0.0,N,0.6,15247,4.6,9785,5.0,18294,77.9,27732,28.8,27.8,23.5
331,"Clinton County, Michigan",28944,83894,76.2,85413,23.9,16138,32.7,20891,3.6,12014,1.1,2680,27.7,21482,20591,96156,15.1,67968,27.5,86691,40.3,106667,7.0,80362,9.3,132095,0.8,150229,77888,32622,94.0,33151,1.7,33753,0.3,N,2.0,32757,0.0,N,0.2,40757,1.9,9611,4.5,26042,90.1,33712,27.0,28.0,20.1
332,"Eaton County, Michigan",44666,70485,74.7,69679,17.9,10583,36.2,19363,3.0,11865,3.7,3495,29.6,25951,28208,84398,17.3,54489,31.1,70491,30.4,110810,9.3,75890,8.7,109239,3.2,87931,109160,29300,87.1,30602,5.5,27520,0.5,23363,1.9,22929,0.2,N,1.0,12221,3.8,10692,5.2,22235,83.1,30867,31.6,31.2,24.9
333,"Genesee County, Michigan",167171,60115,67.1,62562,19.4,11995,37.4,19340,8.4,9769,3.8,2951,27.7,22904,106436,70039,23.5,42841,34.3,52112,26.0,106881,8.5,61347,6.3,124760,1.5,87330,408615,24901,74.6,27376,19.9,16677,0.4,20339,1.0,39503,0.1,N,0.6,13147,3.4,14673,3.4,17025,72.3,27773,39.0,39.5,31.7
334,"Grand Traverse County, Michigan",37252,81079,75.9,76371,32.2,24397,37.1,21185,5.4,11681,4.0,1444,23.9,24194,23074,95994,N,N,N,N,N,N,N,N,N,N,N,N,92084,33670,94.9,34380,1.0,24026,1.0,16177,0.5,32511,0.1,N,0.4,N,2.1,11369,2.8,13414,92.2,35026,24.7,22.8,19.6
335,"Ingham County, Michigan",111779,65974,78.3,64796,22.1,8921,28.5,19000,5.1,8472,2.3,2343,19.7,30169,59740,83856,13.5,59974,32.0,62065,34.0,109194,11.4,72821,7.3,123509,1.9,81436,288051,26523,74.3,28884,11.7,21187,0.3,45396,6.6,21258,0.1,N,1.9,20512,5.2,12225,7.7,18115,70.1,29344,31.5,30.6,29.0
