Geography,Percent; Estimate; Population 18 to 24 years - Less than high school graduate,Percent Females; Estimate; Population 18 to 24 years - Less than high school graduate,Percent Females; Estimate; Population 18 to 24 years - Some college or associate's degree,Percent; Estimate; Population 18 to 24 years - Bachelor's degree or higher,Percent Females; Estimate; Population 25 years and over - Less than 9th grade,"Percent Females; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Percent Females; Estimate; Population 25 years and over - High school graduate (includes equivalency),Percent Males; Estimate; Population 25 years and over - Bachelor's degree,Percent Females; Estimate; Percent high school graduate or higher,Percent Males; Estimate; Percent bachelor's degree or higher,Percent Females; Estimate; Percent bachelor's degree or higher,Percent Females; Estimate; Population 25 to 34 years - High school graduate or higher,Percent Males; Estimate; Population 25 to 34 years - Bachelor's degree or higher,Percent Females; Estimate; Population 25 to 34 years - Bachelor's degree or higher,Percent Females; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Percent Females; Estimate; Population 65 years and over - High school graduate or higher,Percent Males; Estimate; Population 65 years and over - Bachelor's degree or higher,Percent Females; Estimate; Population 65 years and over - Bachelor's degree or higher,"Percent Females; Estimate; White alone, not Hispanic or Latino - High school graduate or higher","Percent Males; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher","Percent Females; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher",Percent Males; Estimate; Black alone - High school graduate or higher,Percent Males; Estimate; Asian alone - Bachelor's degree or higher,Percent Females; Estimate; Asian alone - Bachelor's degree or higher,Percent Males; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher,Percent Males; Estimate; Some other race alone - High school graduate or higher,Percent Males; Estimate; Some other race alone - Bachelor's degree or higher,Percent; Estimate; Two or more races - Bachelor's degree or higher,Percent Males; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher,Percent Females; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher,Percent Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency),Percent Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Percent Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Total; Estimate; All households - With earnings,Total; Estimate; All households - With Social Security income,Total; Estimate; All households - With cash public assistance income,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,"Total; Estimate; White alone, not Hispanic or Latino",Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months
"San Francisco County, California",5.9,4.9,36.0,36.9,8.7,4.8,13.1,35.0,86.5,58.9,55.5,96.2,74.0,77.9,44.0,71.2,43.2,30.9,98.0,77.0,77.2,89.6,48,43.7,N,70.6,23.6,65.5,33.6,31,15.1,11.9,5.8,81.5,23.7,2.0,10.5,4.2,46.4,34.5,5.4,40.7,33.8,37.4
"San Joaquin County, California",14.2,13.8,47.8,4.1,11.4,11.0,26.5,11.2,77.6,16.1,17.3,83.2,13.0,19.5,17.5,70.9,20.8,14.2,89.1,22.0,21.5,90.9,26.4,32.3,N,54.5,4.9,12.2,5,6.8,12.6,7.2,6.7,78.7,28.7,5.0,12.9,4.4,57,15.2,9.2,32.7,35.8,35.8
"San Luis Obispo County, California",4.1,4.4,68.0,7.3,3.8,3.4,17.8,22.0,92.9,33.7,38.6,93.8,30.8,47.7,38.0,93.9,42.9,35.7,97.4,39.0,42.3,70.9,45.4,46.8,N,68.1,4.8,46.2,12.9,21.2,7.4,6.5,4.7,74.1,33.7,0.8,10,1.9,84.4,3.9,3.4,69.2,37.3,36.3
"San Mateo County, California",10.6,8.2,43.8,21.1,6.2,3.9,15.8,28.5,89.9,50.0,50.7,94.5,51.4,61.3,48.8,83.4,44.6,35.3,97.3,59.6,59.3,93.2,61.6,60.7,92.3,58.1,10.9,50.8,19,22.3,5.2,4.0,3.0,84.4,27.8,1.8,10.3,5.8,50.8,28.1,5.9,39.5,32.6,34.1
"Santa Barbara County, California",10.6,11.0,61.8,9.6,11.3,6.0,18.3,18.0,82.7,32.1,32.6,84.3,27.7,35.3,31.7,86.8,45.5,34.6,97.3,49.8,47.2,81.9,43.4,47.6,N,62.9,6.5,25.5,8.9,9.7,11.8,7.4,4.7,80.3,29.7,2.1,11.7,4.3,76.6,5.6,4.5,44.9,35.6,32.7
"Santa Clara County, California",9.1,8.0,44.9,20.9,8.2,4.9,15.2,27.9,86.9,53.1,48.9,91.3,57.7,59.5,47.5,80.7,48.6,32.7,96.4,60.4,56.3,93,68.9,61.1,90.2,58.6,11.9,43.4,16.6,16.8,10.3,7.7,4.1,85.4,23.5,2.1,10,4.6,44,35.6,5.2,32.2,31.3,30.9
"Santa Cruz County, California",7.1,6.9,60.3,9.9,9.3,3.7,11.9,21.7,87.1,37.9,43.0,91.8,33.7,42.3,45.2,88.7,44.1,40.7,97.9,47.6,52.8,N,64.4,50.8,N,53.5,3.9,43.2,10.4,16.5,17.3,9.7,3.5,78.3,33.3,2.2,9.8,4.6,74.3,5,4.2,57.6,33.1,31.0
"Shasta County, California",11.3,8.1,55.3,5.6,3.2,4.7,24.7,14.8,92.1,22.1,21.6,92.2,15.3,28.0,20.2,89.4,26.1,17.5,93.6,22.1,23.2,N,58.1,24.6,N,N,N,10.6,10.4,12.2,12.7,14.7,8.0,66.8,39.3,3.4,6.8,1.8,88.1,3.3,5,80.2,30.6,29.1
"Solano County, California",10.7,7.3,48.6,5.4,6.0,6.2,22.7,17.1,87.9,24.2,26.4,93.3,19.7,29.8,26.9,82.6,32.2,22.7,94.6,27.7,28.1,89.8,40.5,39.8,96,59,10.7,20,12.7,16.4,7.7,6.6,4.1,80.3,30.8,4.0,12,5.6,49.8,15.1,8.8,38.2,30.2,30.1
"Sonoma County, California",10.2,6.5,51.4,6.2,6.2,5.1,17.6,20.4,88.7,32.8,34.8,88.6,21.5,32.7,36.3,90.4,46.1,35.2,95.1,40.1,40.3,91.3,46.1,41.4,N,48.9,6.9,25.8,10.8,14.3,10.2,7.2,6.4,77.2,35.3,1.8,10.1,3.4,73.8,4.3,4.9,63.5,34.3,33.8
"Stanislaus County, California",10.1,8.4,49.0,4.1,12.3,9.9,25.8,10.7,77.8,16.1,16.3,87.6,17.6,20.5,15.1,69.3,18.2,11.2,87.7,22.1,20.8,85.9,25.4,32.9,71.7,48.4,7.6,16.1,6.7,7.5,9.6,9.3,8.1,77.2,30.3,5.0,11,4.8,73.1,5.7,4.2,42.6,33.4,33.2
"Sutter County, California",18.9,20.4,50.5,1.0,14.9,9.1,19.0,12.0,76.0,15.7,16.6,91.1,9.9,22.2,17.1,70.2,22.1,14.0,88.8,19.6,17.6,N,12.5,20.4,N,51.4,18.3,18.4,8.8,12.7,19.4,6.2,2.8,74.9,34.8,4.9,8.2,5.2,71.7,15.4,6.6,46.7,29.6,29.6
"Tulare County, California",16.0,13.5,56.6,2.7,16.8,12.9,24.2,7.3,70.3,12.0,15.4,79.2,8.6,18.7,15.5,67.3,17.0,9.3,88.3,23.2,23.7,86,22,32.2,N,50.6,2,18.2,3.7,7.8,20.0,7.3,4.1,80.3,28.5,9.3,9.8,4.8,73.9,4.5,3,28.7,39.8,40.3
"Ventura County, California",12.9,9.8,53.1,7.7,9.2,5.7,17.8,19.9,85.1,33.6,33.5,88.0,21.8,31.1,37.7,83.1,42.4,27.6,96.2,45.2,41.4,92.1,65.8,58.4,N,59.3,9.1,38,10.2,15.4,8.5,5.5,3.8,80.8,31.4,1.8,11.5,4.2,80.2,7.2,4.7,45.7,36.9,36.4
"Yolo County, California",4.7,2.6,66.3,10.5,7.4,6.2,19.3,21.1,86.4,40.6,41.1,93.7,37.3,45.3,44.2,80.8,52.3,32.1,95.7,51.9,49.9,96.3,59.2,59.1,N,46,15.1,42,13.4,17.6,16.5,9.6,4.9,77.3,25.8,2.3,9.5,2.5,70.4,14,6.5,47.1,31.0,32.5
"Yuba County, California",9.7,13.8,53.7,3.9,6.6,8.6,21.4,13.4,84.9,16.7,20.5,93.9,11.9,18.0,17.5,72.2,21.1,22.7,86.4,16.3,22.3,N,61.8,26.8,N,N,N,N,8.8,13.4,15.6,4.2,3.8,75.8,28.5,5.0,5.9,1.6,74.4,4.9,9.1,55.8,30.1,32.5
"Adams County, Colorado",20.8,16.4,35.9,6.4,7.7,8.4,27.4,16.2,83.9,22.8,23.1,85.8,17.4,26.2,22.7,81.0,28.9,17.0,94.2,30.7,29.6,94.5,26.8,27.3,N,57.9,4.1,16.4,8.6,10.3,5.5,4.1,4.7,86.1,21.3,2.1,12,4.4,80.9,4,3.8,50.8,33.9,36.1
"Arapahoe County, Colorado",13.2,9.9,45.3,12.1,2.9,4.4,22.6,26.8,92.8,42.2,40.8,91.8,37.4,38.8,43.9,92.8,51.5,33.7,97.6,49.7,49.1,94,52.8,42.7,N,75.5,8.9,35.5,15,15.5,10.6,5.8,3.7,84.9,23.3,1.6,9.7,3.6,71,6.1,3.7,61.1,29.3,30.2
"Boulder County, Colorado",6.5,6.8,53.8,15.7,2.1,3.1,12.8,31.0,94.8,60.4,60.8,96.4,56.9,61.2,60.9,93.7,61.6,50.7,98.3,64.4,65.7,N,82.8,67.8,N,73,32.7,60.1,24.5,21.1,9.3,9.5,6.1,83.2,23.7,1.5,8.5,2.2,89.6,4.8,2.4,78,29.5,28.7
"Broomfield County, Colorado",10.9,9.6,43.0,23.5,1.6,1.9,17.5,31.1,96.5,52.5,51.4,96.0,51.6,67.3,49.5,92.6,43.7,22.9,99.1,56.0,53.2,N,53.4,46,N,N,N,N,35.7,34.8,24.2,4.7,3.7,83.7,20.9,1.3,N,N,86.4,5.9,3.4,77.6,31.7,32.7
"Denver County, Colorado",13.3,10.0,40.5,17.7,5.8,6.9,17.1,28.9,87.3,46.6,48.2,91.2,54.8,57.2,43.9,83.6,45.3,36.1,96.7,62.5,62.9,84.5,51.7,49.2,N,62.6,12.6,54.1,13.7,18.3,19.0,11.3,3.9,83.2,20.8,2.3,10.5,3.4,75.4,3.7,3.4,54,31.2,32.7
"Douglas County, Colorado",17.5,13.4,36.3,13.9,0.6,0.9,13.2,38.1,98.4,62.5,56.5,99.1,58.8,63.6,56.1,94.8,67.6,40.9,99.0,62.7,55.9,97.8,84.1,77.2,N,N,N,54.1,45.3,50,6.0,3.0,2.6,88.6,20.4,1.0,7.8,1.8,89.6,4.7,2.6,83.1,24.9,24.2
"El Paso County, Colorado",9.4,9.0,48.6,11.1,1.7,3.6,20.2,23.3,94.7,39.5,37.9,95.6,29.1,36.9,39.7,91.2,46.3,31.8,96.8,43.9,42.1,93.4,53.4,41.2,N,75.6,14.9,29.5,21.3,19.6,12.3,8.4,4.7,83.5,24.5,2.4,8.7,2.9,80.3,2.7,6.1,69.8,31.4,30.1
"Jefferson County, Colorado",15.9,18.3,42.0,12.6,1.8,3.4,19.7,28.5,94.8,43.0,44.0,95.1,43.0,48.9,42.2,93.9,47.5,32.7,97.3,46.9,47.1,90.6,48.1,55.4,N,89.7,18.2,41.3,18.9,21.8,8.9,5.1,4.1,82.4,27.5,1.6,9.5,2.4,90.9,3,2.4,78.5,29.1,28.4
"Larimer County, Colorado",6.4,5.6,56.0,15.2,1.6,1.9,19.9,25.9,96.5,45.9,47.7,97.7,41.4,58.0,47.0,95.7,53.7,37.0,97.7,48.4,50.1,N,48.7,49.4,N,89.9,31.8,33.7,28.1,29.6,5.4,7.7,5.0,80.1,26.4,2.1,8.5,0.9,90.4,2.2,3.5,82.9,32.1,32.2
"Mesa County, Colorado",10.1,3.6,57.7,7.8,2.6,7.8,28.8,13.9,89.7,23.9,26.1,90.1,17.1,24.6,27.2,89.9,40.3,25.8,93.9,25.7,27.7,N,N,N,N,90.2,0,N,8.8,15.7,9.5,8.8,2.8,76.6,35.6,2.3,8.5,1,93.4,0.8,2.9,81.6,29.1,28.2
"Pueblo County, Colorado",17.5,14.3,54.5,4.1,4.1,8.6,23.7,12.1,87.3,18.3,23.9,85.0,12.1,27.3,27.4,79.3,24.6,16.0,92.2,25.2,27.3,N,N,N,N,75.5,5.4,23.1,8.9,18,18.9,8.7,10.0,69.3,33.5,3.8,6.8,2,80.7,0.8,2.9,52.2,38.3,40.1
"Weld County, Colorado",11.5,7.4,55.1,5.3,4.6,6.8,26.2,18.5,88.5,25.9,28.6,91.1,20.9,28.7,28.4,86.6,29.1,23.5,95.6,32.5,33.6,N,47.1,40.6,N,68.1,9.3,31,4.9,10,7.5,6.0,3.2,84.4,23.3,2.4,9.8,2.1,92.2,1.5,2.4,66.2,37.9,37.5
"Fairfield County, Connecticut",10.9,9.2,43.0,18.8,4.8,4.6,21.8,25.7,90.7,46.3,46.8,92.5,40.2,51.4,49.2,84.7,47.1,32.8,95.6,56.7,56.0,85.1,68.6,59.8,N,58.1,11,42.2,16.8,22.1,9.7,7.3,3.8,82.8,29.2,1.8,11.5,3.2,73.8,5.3,3.2,62.1,38.0,37.9
"Hartford County, Connecticut",13.1,11.9,51.1,15.5,4.5,5.6,26.8,21.0,89.8,36.9,37.5,94.3,38.6,51.1,37.6,81.7,36.4,23.2,93.8,43.0,43.1,81.4,75.1,68.3,N,63.7,5.2,26.8,11.6,15.4,8.9,5.5,3.3,77.4,29.8,5.6,11.3,3.2,71.3,5.1,3.3,61.9,34.5,36.8
"Litchfield County, Connecticut",9.8,7.8,48.5,17.2,2.4,5.0,26.2,21.9,92.6,35.5,38.0,95.9,39.1,53.5,37.6,85.8,36.4,26.9,93.9,35.6,38.6,N,41.2,36.1,N,N,N,N,30.3,32.7,7.7,3.9,4.5,78.6,35.8,2.4,9.3,3,93.6,2.5,1.1,89.2,40.9,42.4
"Middlesex County, Connecticut",5.6,4.3,56.6,16.7,2.5,2.9,27.5,25.9,94.6,45.3,38.5,91.0,45.9,54.0,36.3,88.0,43.0,25.0,95.5,46.6,38.8,82.1,60.6,54.9,N,N,N,N,24.7,45,11.0,5.3,2.6,81.3,32.0,2.2,6.9,1.5,89.3,3,1.9,84.2,27.1,26.7
"New Haven County, Connecticut",8.6,7.6,45.0,16.5,4.7,5.7,27.9,19.3,89.7,34.4,35.7,93.0,38.9,47.4,34.4,82.3,32.3,23.9,93.7,38.7,40.1,87.4,74.9,67.6,N,64.7,11.3,31.6,14.8,17.6,10.0,6.1,4.2,78.2,31.7,4.2,9.8,3.5,74.1,4.2,3.2,63.5,33.4,33.9
"New London County, Connecticut",6.3,7.0,59.3,13.2,2.6,5.1,31.2,17.7,92.3,31.9,33.1,97.7,30.0,39.5,32.1,88.1,35.0,26.0,94.2,33.4,34.4,86,57.6,45.7,N,78.7,37.1,13.6,23.9,26.3,9.1,3.8,3.4,79.1,32.8,3.5,12.4,3.1,81.2,4.5,4.4,75.7,32.2,32.7
"Tolland County, Connecticut",2.7,0.4,69.6,8.1,1.0,2.8,24.6,22.7,96.2,39.1,41.1,99.6,32.7,42.2,41.4,91.3,46.1,27.7,96.6,40.4,40.6,N,N,N,N,N,N,N,28.1,48.3,1.8,4.8,5.1,79.9,31.1,2.5,7,2.7,89.3,4.9,1.4,85,34.5,33.3
"Windham County, Connecticut",8.8,11.2,58.8,5.2,3.5,7.0,29.7,10.8,89.6,18.6,29.1,100.0,22.3,44.3,26.5,78.7,20.2,20.7,90.9,19.3,30.1,N,N,N,N,N,N,N,14.8,13.7,5.8,7.8,5.1,76.9,33.7,10.7,10.2,3.7,88.8,1.6,4.1,83,39.4,41.1
"Kent County, Delaware",18.2,10.7,49.8,5.3,4.6,7.3,34.0,12.0,88.1,20.8,24.2,89.8,17.0,25.2,28.4,85.2,18.6,13.3,87.6,20.9,24.4,86.2,48.3,19.7,N,N,N,29.4,7.5,11.5,10.7,6.7,3.1,76.0,35.1,4.1,13.9,2.9,66.3,1.8,4.7,62.4,37.6,38.5
"New Castle County, Delaware",15.3,12.9,43.8,11.1,2.0,5.0,31.9,20.4,93.0,35.5,35.4,95.7,35.5,41.0,34.9,88.3,38.6,26.4,95.3,40.1,40.1,86.6,73,62.6,N,70.5,7.3,30.8,14.8,21.6,12.7,6.5,3.9,79.1,28.3,1.9,9.1,2.8,64.9,5.4,2.4,58.2,33.4,35.6
"Sussex County, Delaware",20.8,17.4,38.1,8.4,4.0,8.2,29.2,15.3,87.8,26.0,26.7,83.4,21.7,26.8,29.1,89.0,34.5,24.3,91.8,29.3,28.6,74.2,48,71.3,N,N,N,N,9.5,20.7,7.1,4.3,3.2,67.9,47.8,2.1,6.6,2.9,82.4,1.1,1.8,74.6,39.9,40.2
"District of Columbia, District of Columbia",7.8,5.7,40.0,24.0,3.5,6.0,17.4,24.7,90.4,57.8,56.0,96.3,68.1,72.1,46.8,84.3,48.5,37.2,99.4,91.3,92.8,86.5,82.6,87.6,N,53,21.3,74.4,39.5,43.7,23.4,14.8,6.5,80.4,20.0,3.9,11,2.7,40.7,3.9,2.6,36.3,33.6,36.4
"Alachua County, Florida",8.7,6.0,65.2,14.9,2.6,4.4,21.1,18.7,93.0,38.6,40.7,96.2,42.9,47.4,32.7,91.8,44.0,36.0,97.2,43.5,42.1,77.7,68.8,62.9,N,N,N,32.5,29.5,45.7,16.1,14.0,8.1,75.2,26.8,2.3,8.3,1.1,69.1,6.4,2.8,61.7,38.1,41.2
"Bay County, Florida",14.8,16.8,58.9,1.6,1.6,7.1,31.4,14.0,91.2,22.1,24.4,89.5,15.3,22.8,24.5,89.1,25.3,20.1,92.8,23.4,26.5,93.1,67.8,30.3,N,N,N,N,21.6,15.2,10.8,6.2,3.8,75.1,35.6,1.5,8.7,3.2,82.1,2.8,3.2,76.9,39.6,41.8
"Brevard County, Florida",15.6,17.8,38.5,10.9,2.6,5.2,28.3,18.5,92.2,30.0,28.7,91.0,25.4,31.9,29.0,89.7,33.7,24.0,94.4,31.3,29.1,81.3,49.7,35.2,N,77,34.3,34.2,22.3,31.2,18.6,7.6,5.9,66.8,43.8,1.8,7.5,1.6,82.6,2.4,2.9,75,37.5,36.4
"Broward County, Florida",16.5,16.3,45.9,9.9,5.1,6.5,26.8,18.8,88.4,30.1,31.5,92.5,27.5,35.2,33.1,81.7,32.5,21.8,94.2,37.9,36.2,79.2,54.3,55.3,N,84.3,17.6,28.8,26.1,29.8,12.0,8.3,6.7,79.7,30.0,1.5,12.5,3.9,60.9,3.6,3.2,37.4,35.4,37.4
"Charlotte County, Florida",19.9,0.0,44.1,5.5,2.2,5.4,31.8,15.5,92.4,26.3,21.3,94.1,14.8,26.8,20.3,89.1,34.8,21.2,93.7,27.2,21.7,65.5,N,N,N,N,N,N,30.2,27.3,11.2,9.5,3.4,50.5,62.2,1.1,3.5,1.6,89.8,0.9,1.7,84.3,35.7,37.7
"Citrus County, Florida",24.7,20.6,10.1,7.5,2.1,7.4,39.5,15.3,90.5,22.1,19.0,83.1,7.2,17.0,20.1,89.1,30.9,15.9,90.2,21.9,17.1,79.8,N,N,N,N,N,N,N,N,15.5,8.3,4.7,48.7,59.4,1.6,4,0.9,92.9,1.7,0.7,88.5,35.4,32.9
"Clay County, Florida",15.3,8.9,40.4,12.0,2.1,4.6,32.9,16.6,93.2,25.0,22.1,96.6,24.6,27.0,21.9,91.5,23.0,14.4,93.4,24.7,21.3,94.7,42.9,34.5,N,N,N,41.4,20.9,10.6,11.4,6.4,4.6,78.1,33.4,2.4,9,1,80.1,2.8,4.5,73.7,39.8,38.2
"Collier County, Florida",21.1,20.1,28.6,11.2,6.4,7.0,28.0,21.6,86.7,37.1,31.0,90.5,16.7,21.7,29.3,88.7,53.8,33.9,94.0,49.0,37.8,72.3,54,45.4,N,29.5,5.2,N,4.4,10.9,13.0,5.1,4.9,63.2,47.7,0.7,8.2,3.1,88,1.3,1.1,63.6,37.5,37.6
"Columbia County, Florida",25.4,14.6,36.3,0.7,5.6,8.1,37.6,8.2,86.3,11.6,15.5,85.3,1.7,13.4,15.7,77.1,13.5,6.5,89.5,13.7,15.9,71.6,N,N,N,N,N,N,1.1,8.9,17.0,3.4,4.5,64.4,39.2,1.5,N,N,76.3,0.8,1.2,72.9,50.1,49.0
"Duval County, Florida",17.0,15.4,46.7,10.8,3.2,6.9,26.4,20.0,89.9,29.0,29.8,92.2,27.3,34.1,28.6,86.7,30.9,21.8,92.6,33.9,32.0,84.3,48,50.1,N,55.7,14.5,30.4,21.3,28.9,11.9,9.3,6.0,78.9,28.6,2.7,11.6,2,60.5,4.3,3.9,53.8,42.7,43.1
"Escambia County, Florida",13.9,13.5,60.4,7.7,2.1,7.1,25.2,18.4,90.7,28.8,25.1,95.5,28.5,28.8,25.8,85.0,30.5,18.6,93.0,32.9,28.6,82.1,50.8,39.2,N,N,N,19.2,30.3,27.9,10.4,10.9,2.9,74.7,36.6,1.3,10,1.7,68.8,3.1,4.1,64.6,27.0,29.5
"Flagler County, Florida",14.6,22.3,23.3,4.0,2.4,5.4,33.5,11.7,92.2,21.1,24.7,98.9,5.7,21.1,22.8,87.0,34.1,28.9,93.0,23.5,22.5,91.5,N,N,N,N,N,N,9.4,22,13.0,12.0,7.3,55.3,54.1,1.7,4.2,2.9,83.3,2.6,1.2,74.6,44.0,42.2
"Hernando County, Florida",11.3,6.3,59.2,4.5,3.9,6.7,36.0,11.8,89.4,17.4,20.1,85.8,19.5,21.6,21.8,87.6,20.0,13.4,90.0,18.0,18.3,89.8,N,N,N,N,N,32.7,10.9,29.7,12.6,7.0,7.4,58.9,49.9,1.5,8.7,1.9,88.8,1.2,3,78.6,42.5,42.5
"Highlands County, Florida",18.6,13.1,47.2,6.5,5.9,6.4,43.5,7.9,87.6,12.6,13.5,89.1,3.3,13.4,9.6,84.6,16.0,15.1,90.7,14.7,14.3,75.2,N,N,N,N,N,N,6.6,3.7,12.1,14.3,6.3,53.3,57.7,1.1,N,N,78,1.3,1.4,68,30.6,34.7
"Hillsborough County, Florida",14.7,10.3,48.4,11.0,4.6,7.0,27.3,20.2,88.4,32.3,32.3,91.6,30.5,38.7,31.5,81.2,31.6,21.0,93.6,39.2,38.3,87.7,66.3,52,N,58,9.8,31.1,17.9,21.2,14.4,8.0,5.6,79.4,28.5,2.1,9.7,2.5,70.6,4,3.4,50,34.6,35.3
"Indian River County, Florida",21.6,18.3,42.7,6.9,6.2,6.4,32.3,15.7,87.4,30.0,27.4,87.9,13.7,26.2,28.1,86.2,46.3,27.8,90.2,36.0,28.3,72.3,N,N,N,N,N,N,4.7,9.9,12.3,10.8,3.7,53.8,56.5,1.0,5.6,0.8,85.1,1.3,3.2,76,38.2,39.0
"Lake County, Florida",20.3,19.7,40.1,7.1,2.7,5.8,34.7,11.8,91.6,21.7,24.1,97.5,13.0,36.1,22.0,89.3,29.0,18.4,93.6,22.9,23.8,80.3,55.3,58.4,N,N,N,39.9,15.3,29.3,13.3,4.7,4.9,64.9,50.2,1.7,7.5,3.1,84.5,2,2,71.1,33.9,32.6
"Lee County, Florida",15.2,9.7,52.8,8.3,4.5,6.9,31.5,17.9,88.6,29.0,27.7,88.9,17.9,30.4,26.6,87.5,38.6,27.9,91.9,33.6,30.6,70.4,55.8,36.3,N,62.9,5.7,14,12.4,17.4,8.9,6.1,6.7,63.0,47.4,2.0,8,2.1,85.1,1.5,1.9,68.3,36.8,38.5
"Leon County, Florida",7.1,7.2,66.6,11.4,1.9,3.5,16.8,23.5,94.6,46.6,48.4,97.7,47.4,53.1,50.5,93.2,58.6,39.0,98.1,53.6,53.0,84,N,N,N,N,N,N,46.2,52,19.1,11.2,4.4,81.7,25.8,1.2,10.8,2.3,61.7,3.5,2.8,56.7,34.8,34.3
"Manatee County, Florida",17.4,15.8,32.1,6.9,3.6,6.6,31.8,19.1,89.8,28.9,26.6,86.8,17.0,26.7,28.6,90.3,37.3,23.7,92.7,30.9,27.6,83.5,61.1,43.5,N,65.9,11.3,29,18.7,23.2,10.6,5.4,4.1,64.2,44.7,1.8,8.5,1.7,85.2,1.9,1.8,71.5,38.2,40.4
"Marion County, Florida",18.7,16.0,32.0,4.7,3.5,9.5,36.9,11.3,87.0,18.2,17.9,90.4,12.0,15.8,18.7,87.0,27.0,16.1,89.4,19.8,17.4,75.4,35.6,24.1,N,N,N,23.3,9.6,21,16.1,12.3,5.8,58.5,51.5,2.0,5.4,1.4,82.2,1.2,3.3,70.9,33.8,33.8
"Martin County, Florida",22.3,26.8,41.8,7.4,2.9,5.1,25.7,18.5,92.0,31.9,28.8,84.9,13.6,28.5,31.8,92.9,46.7,23.8,93.4,35.9,29.6,74.7,N,N,N,N,N,N,12.4,22.3,9.0,9.8,6.8,63.7,48.2,1.0,5.7,1.5,87.7,0.8,1.4,78.9,37.4,34.7
"Miami-Dade County, Florida",14.7,11.6,51.1,8.6,11.2,7.9,27.3,17.0,81.0,27.6,28.1,90.8,26.9,35.7,27.6,61.9,26.1,18.2,95.6,50.8,47.5,76.9,41.1,50.6,N,77.7,22.3,29.3,25.3,25.9,16.5,9.3,9.3,79.4,29.7,2.5,13.7,4,74.5,1.6,1.6,13.6,35.1,36.2
"Monroe County, Florida",29.3,22.4,41.6,3.0,3.1,6.8,23.2,21.4,90.1,33.3,33.5,95.0,29.5,33.4,39.3,84.9,41.0,25.7,94.3,39.2,38.5,98.7,N,N,N,N,N,N,17.4,20.1,16.8,9.6,4.3,75.6,34.0,2.6,N,N,89,1.5,0.4,67.6,49.1,47.9
"Nassau County, Florida",19.7,22.1,53.4,4.9,1.9,6.6,26.2,19.8,91.5,32.0,28.5,92.9,18.3,22.9,27.2,81.6,43.2,27.1,92.0,32.5,29.0,88.8,N,N,N,N,N,N,27.1,31.9,5.8,6.4,3.5,70.3,41.1,2.1,7,2.3,N,N,N,N,34.1,33.9
"Okaloosa County, Florida",12.3,10.7,49.6,5.8,3.3,5.8,26.3,18.0,91.0,33.6,27.3,88.3,29.9,30.9,28.4,86.8,46.8,22.6,93.6,37.0,28.1,83.9,69.4,30.5,N,79.3,7.7,22.2,13.8,25.5,9.1,5.1,3.7,77.2,32.6,1.7,7.6,0.9,77.3,2.9,4.9,74.4,29.7,29.2
"Orange County, Florida",11.4,9.1,54.8,11.2,5.5,7.3,23.2,21.4,87.1,32.9,34.5,91.7,35.4,42.6,32.4,78.6,32.2,24.1,93.1,43.4,42.1,83.5,58.7,57.7,N,79.7,19.7,29.9,20,25.9,13.4,9.0,7.2,82.7,24.6,1.8,10.9,3.5,64.8,5.4,3.5,41.3,36.4,37.9
"Osceola County, Florida",10.5,8.8,48.4,7.2,5.9,5.4,30.5,12.7,88.7,18.3,21.6,94.1,14.3,24.3,22.7,72.6,18.7,12.1,92.0,25.0,24.1,82.3,29.2,33.8,N,88.5,22.5,24.2,11.4,18.6,7.7,8.9,7.7,81.2,31.4,2.9,13,4.4,73.9,2.9,4,33.6,56.2,55.6
