Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Hunterdon County, New Jersey",124676,*****,1064,596
"Mercer County, New Jersey",371023,*****,6563,1783
"Middlesex County, New Jersey",837073,*****,14095,2900
"Monmouth County, New Jersey",625846,*****,8630,1700
"Morris County, New Jersey",498423,*****,8046,1824
"Ocean County, New Jersey",592497,*****,7201,1796
"Passaic County, New Jersey",507945,*****,10368,2559
"Salem County, New Jersey",63436,*****,1838,1048
"Somerset County, New Jersey",333751,*****,5623,1622
"Sussex County, New Jersey",142522,*****,2115,678
"Union County, New Jersey",555630,*****,10584,2093
"Warren County, New Jersey",106617,*****,1477,639
"Bernalillo County, New Mexico",676953,*****,13957,2836
"Chaves County, New Mexico",65282,*****,79,167
"Doña Ana County, New Mexico",214207,*****,1802,767
"Lea County, New Mexico",69749,*****,1479,836
"McKinley County, New Mexico",74923,*****,570,425
"Otero County, New Mexico",65410,*****,2472,1561
"Sandoval County, New Mexico",142025,*****,5113,1324
"San Juan County, New Mexico",115079,*****,2709,1139
"Santa Fe County, New Mexico",148651,*****,2166,871
"Valencia County, New Mexico",75626,*****,1361,723
"Albany County, New York",308846,*****,10586,2291
"Bronx County, New York",1455720,*****,34105,5554
"Broome County, New York",195334,*****,6396,1585
"Cattaraugus County, New York",77677,*****,1122,379
"Cayuga County, New York",77861,*****,1611,571
"Chautauqua County, New York",129504,*****,2034,610
"Chemung County, New York",86322,*****,3012,970
"Clinton County, New York",81073,*****,1074,475
"Dutchess County, New York",294473,*****,7537,2373
"Erie County, New York",921046,*****,17692,2714
"Jefferson County, New York",114006,*****,3792,1023
"Kings County, New York",2629150,*****,65872,5955
"Livingston County, New York",64257,*****,814,394
"Madison County, New York",71329,*****,872,344
"Monroe County, New York",747727,*****,18315,3273
"Nassau County, New York",1361500,*****,30351,4920
"New York County, New York",1643734,*****,54918,7299
"Niagara County, New York",211758,*****,6313,1517
"Oneida County, New York",231190,*****,6791,1651
"Onondaga County, New York",466194,*****,16393,2427
"Ontario County, New York",109828,*****,1395,636
"Orange County, New York",379210,*****,12624,2969
"Oswego County, New York",118987,*****,2156,457
"Putnam County, New York",98900,*****,1776,771
"Queens County, New York",2333054,*****,54274,6079
"Rensselaer County, New York",160070,*****,5410,1192
"Richmond County, New York",476015,*****,8199,2208
"Rockland County, New York",326780,*****,5179,1545
"St. Lawrence County, New York",110038,*****,1576,599
"Saratoga County, New York",227053,*****,4496,1447
"Schenectady County, New York",154553,*****,5093,1662
