586,"Marion County, Oregon",336316
587,"Multnomah County, Oregon",799766
588,"Polk County, Oregon",81823
589,"Umatilla County, Oregon",76456
590,"Washington County, Oregon",582779
591,"Yamhill County, Oregon",105035
592,"Adams County, Pennsylvania",102180
593,"Allegheny County, Pennsylvania",1225365
594,"Armstrong County, Pennsylvania",66486
595,"Beaver County, Pennsylvania",167429
596,"Berks County, Pennsylvania",414812
597,"Blair County, Pennsylvania",124650
598,"Bucks County, Pennsylvania",626399
599,"Butler County, Pennsylvania",186847
600,"Cambria County, Pennsylvania",134732
601,"Carbon County, Pennsylvania",63594
602,"Centre County, Pennsylvania",161464
603,"Chester County, Pennsylvania",516312
604,"Clearfield County, Pennsylvania",80596
605,"Columbia County, Pennsylvania",66420
606,"Crawford County, Pennsylvania",86257
607,"Cumberland County, Pennsylvania",248506
608,"Dauphin County, Pennsylvania",273707
609,"Delaware County, Pennsylvania",563402
610,"Erie County, Pennsylvania",276207
611,"Fayette County, Pennsylvania",132733
612,"Franklin County, Pennsylvania",153851
613,"Indiana County, Pennsylvania",86364
614,"Lackawanna County, Pennsylvania",211321
615,"Lancaster County, Pennsylvania",538500
616,"Lawrence County, Pennsylvania",87294
617,"Lebanon County, Pennsylvania",138863
618,"Lehigh County, Pennsylvania",363147
619,"Luzerne County, Pennsylvania",316383
620,"Lycoming County, Pennsylvania",115248
621,"Mercer County, Pennsylvania",112913
622,"Monroe County, Pennsylvania",166098
623,"Montgomery County, Pennsylvania",821725
624,"Northampton County, Pennsylvania",302294
625,"Northumberland County, Pennsylvania",92541
626,"Philadelphia County, Pennsylvania",1567872
627,"Schuylkill County, Pennsylvania",143573
628,"Somerset County, Pennsylvania",75061
629,"Washington County, Pennsylvania",207981
630,"Westmoreland County, Pennsylvania",355458
631,"York County, Pennsylvania",443744
632,"Kent County, Rhode Island",164614
633,"Newport County, Rhode Island",82784
634,"Providence County, Rhode Island",633673
635,"Washington County, Rhode Island",126288
636,"Aiken County, South Carolina",167458
637,"Anderson County, South Carolina",196569
638,"Beaufort County, South Carolina",183149
639,"Berkeley County, South Carolina",210898
640,"Charleston County, South Carolina",396484
641,"Darlington County, South Carolina",67234
642,"Dorchester County, South Carolina",153773
643,"Florence County, South Carolina",138742
644,"Greenville County, South Carolina",498766
645,"Greenwood County, South Carolina",70133
646,"Horry County, South Carolina",322342
647,"Lancaster County, South Carolina",89594
648,"Laurens County, South Carolina",66777
649,"Lexington County, South Carolina",286196
650,"Oconee County, South Carolina",76355
651,"Orangeburg County, South Carolina",87903
652,"Pickens County, South Carolina",122863
653,"Richland County, South Carolina",409549
654,"Spartanburg County, South Carolina",301463
655,"Sumter County, South Carolina",107396
656,"York County, South Carolina",258526
657,"Minnehaha County, South Dakota",187318
658,"Pennington County, South Dakota",109372
659,"Anderson County, Tennessee",75936
660,"Blount County, Tennessee",128670
661,"Bradley County, Tennessee",104490
662,"Davidson County, Tennessee",684410
663,"Greene County, Tennessee",68615
664,"Hamilton County, Tennessee",357738
665,"Knox County, Tennessee",456132
666,"Madison County, Tennessee",97663
667,"Maury County, Tennessee",89981
668,"Montgomery County, Tennessee",195734
669,"Putnam County, Tennessee",75931
670,"Robertson County, Tennessee",69165
671,"Rutherford County, Tennessee",308251
672,"Sevier County, Tennessee",96673
673,"Shelby County, Tennessee",934603
674,"Sullivan County, Tennessee",156667
675,"Sumner County, Tennessee",180063
676,"Washington County, Tennessee",127440
677,"Williamson County, Tennessee",219107
678,"Wilson County, Tennessee",132781
679,"Angelina County, Texas",87791
680,"Bastrop County, Texas",82733
681,"Bell County, Texas",340411
682,"Bexar County, Texas",1928680
683,"Bowie County, Texas",93860
684,"Brazoria County, Texas",354195
685,"Brazos County, Texas",220417
686,"Cameron County, Texas",422135
687,"Collin County, Texas",939585
688,"Comal County, Texas",134788
689,"Coryell County, Texas",74686
690,"Dallas County, Texas",2574984
691,"Denton County, Texas",806180
692,"Ector County, Texas",157462
693,"Ellis County, Texas",168499
694,"El Paso County, Texas",837918
695,"Fort Bend County, Texas",741237
696,"Galveston County, Texas",329431
697,"Grayson County, Texas",128235
698,"Gregg County, Texas",123745
699,"Guadalupe County, Texas",155265
700,"Harris County, Texas",4589928
701,"Harrison County, Texas",66534
702,"Hays County, Texas",204470
703,"Henderson County, Texas",79901
704,"Hidalgo County, Texas",849843
705,"Hunt County, Texas",92073
706,"Jefferson County, Texas",254679
707,"Johnson County, Texas",163274
708,"Kaufman County, Texas",118350
709,"Liberty County, Texas",81704
710,"Lubbock County, Texas",303137
711,"McLennan County, Texas",247934
712,"Midland County, Texas",162565
713,"Montgomery County, Texas",556203
714,"Nacogdoches County, Texas",65806
715,"Nueces County, Texas",361350
716,"Orange County, Texas",84964
717,"Parker County, Texas",129441
718,"Potter County, Texas",120832
719,"Randall County, Texas",132501
720,"Rockwall County, Texas",93978
721,"San Patricio County, Texas",67655
722,"Smith County, Texas",225290
723,"Tarrant County, Texas",2016872
724,"Taylor County, Texas",136535
725,"Tom Green County, Texas",118386
726,"Travis County, Texas",1199323
727,"Victoria County, Texas",92467
728,"Walker County, Texas",71484
729,"Webb County, Texas",271193
730,"Wichita County, Texas",131838
731,"Williamson County, Texas",528718
732,"Cache County, Utah",122753
733,"Davis County, Utah",342281
734,"Salt Lake County, Utah",1121354
735,"Utah County, Utah",592299
736,"Washington County, Utah",160245
737,"Weber County, Utah",247560
738,"Chittenden County, Vermont",161531
739,"Albemarle County, Virginia",106878
740,"Arlington County, Virginia",230050
741,"Augusta County, Virginia",74997
742,"Bedford County, Virginia",77960
743,"Chesterfield County, Virginia",339009
744,"Fairfax County, Virginia",1138652
745,"Fauquier County, Virginia",69069
746,"Frederick County, Virginia",84421
747,"Hanover County, Virginia",104392
748,"Henrico County, Virginia",326501
749,"James City County, Virginia",74404
750,"Loudoun County, Virginia",385945
751,"Montgomery County, Virginia",98602
752,"Prince William County, Virginia",455210
753,"Roanoke County, Virginia",94031
754,"Rockingham County, Virginia",79744
755,"Spotsylvania County, Virginia",132010
756,"Stafford County, Virginia",144361
757,"York County, Virginia",67976
758,"Alexandria city, Virginia",155810
759,"Chesapeake city, Virginia",237940
760,"Hampton city, Virginia",135410
761,"Lynchburg city, Virginia",80212
762,"Newport News city, Virginia",181825
763,"Norfolk city, Virginia",245115
764,"Portsmouth city, Virginia",95252
765,"Richmond city, Virginia",223170
766,"Roanoke city, Virginia",99660
767,"Suffolk city, Virginia",89273
768,"Virginia Beach city, Virginia",452602
769,"Benton County, Washington",193686
770,"Chelan County, Washington",76338
771,"Clallam County, Washington",74570
772,"Clark County, Washington",467018
773,"Cowlitz County, Washington",105160
774,"Franklin County, Washington",90160
775,"Grant County, Washington",93546
776,"Grays Harbor County, Washington",71628
777,"Island County, Washington",82636
778,"King County, Washington",2149970
779,"Kitsap County, Washington",264811
780,"Lewis County, Washington",77066
781,"Pierce County, Washington",861312
782,"Skagit County, Washington",123681
783,"Snohomish County, Washington",787620
784,"Spokane County, Washington",499072
785,"Thurston County, Washington",275222
786,"Whatcom County, Washington",216800
787,"Yakima County, Washington",249636
788,"Berkeley County, West Virginia",113525
789,"Cabell County, West Virginia",95987
790,"Harrison County, West Virginia",68400
791,"Kanawha County, West Virginia",186241
792,"Monongalia County, West Virginia",104622
793,"Raleigh County, West Virginia",76601
794,"Wood County, West Virginia",85643
795,"Brown County, Wisconsin",260401
796,"Dane County, Wisconsin",531273
797,"Dodge County, Wisconsin",88068
798,"Eau Claire County, Wisconsin",102965
799,"Fond du Lac County, Wisconsin",102144
800,"Jefferson County, Wisconsin",84625
801,"Kenosha County, Wisconsin",168183
