Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Madera County, California",150615,121838,5248,2650,3012,520,11990,5357,1925,3432
"Marin County, California",252759,201272,7284,667,14407,515,19668,8946,1861,7085
"Mariposa County, California",18193,16132,141,669,272,39,342,598,57,541
"Mendocino County, California",87577,72842,804,4200,1583,169,4779,3200,617,2583
"Merced County, California",256398,173461,9794,2622,19278,579,42488,8176,2957,5219
"Modoc County, California",9545,8417,129,288,36,0,332,343,4,339
"Mono County, California",14181,11856,82,476,111,28,1134,494,50,444
"Monterey County, California",416199,309794,12568,3864,26195,1977,46587,15214,4187,11027
"Napa County, California",136644,109393,2758,979,9450,485,9333,4246,1210,3036
"Nevada County, California",98521,91584,393,934,1386,192,1391,2641,463,2178
"Orange County, California",3021840,1886224,48985,12708,547024,9575,421154,96170,24091,72079
"Placer County, California",350074,295714,4270,2579,21683,824,11597,13407,2359,11048
"Plumas County, California",19926,18139,253,428,234,172,213,487,37,450
"Riverside County, California",2192982,1455085,138216,22688,130982,6965,353226,85820,25782,60038
"Sacramento County, California",1422348,853146,143842,12829,205867,14435,105623,86606,15111,71495
"San Benito County, California",55467,46065,826,569,1299,0,4820,1888,486,1402
"San Bernardino County, California",2041029,1272922,178176,21023,130176,6484,342488,89760,26395,63365
"San Diego County, California",3100500,2217577,156645,21872,342886,14541,206280,140699,27473,113226
"San Francisco County, California",807755,409445,48419,3690,270503,3485,38968,33245,5004,28241
"San Joaquin County, California",687036,410319,50463,6760,98513,3557,74101,43323,8919,34404
"San Luis Obispo County, California",270121,227208,5809,2724,9147,315,16050,8868,1644,7224
"San Mateo County, California",721183,425330,20231,2733,180081,10614,49893,32301,6143,26158
"Santa Barbara County, California",423594,324705,8396,4674,20775,897,48057,16090,4312,11778
"Santa Clara County, California",1788393,901689,46543,9860,577249,6432,169797,76823,17502,59321
"Santa Cruz County, California",262340,215815,2707,1325,10910,407,20638,10538,1902,8636
