Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Blaine County, Montana",6514,3187,0,3196,5,25,24,77,3,74
"Broadwater County, Montana",5575,5325,36,8,26,0,1,179,0,179
"Carbon County, Montana",10057,9748,6,113,72,10,78,30,0,30
"Carter County, Montana",1276,1255,0,17,0,0,2,2,0,2
"Cascade County, Montana",81248,72665,951,3519,467,2,424,3220,132,3088
"Chouteau County, Montana",5811,4469,0,1202,25,0,6,109,0,109
"Custer County, Montana",11706,11217,28,164,50,23,56,168,0,168
"Daniels County, Montana",1734,1629,0,96,9,0,0,0,0,0
"Dawson County, Montana",9022,8696,17,177,12,11,7,102,0,102
"Deer Lodge County, Montana",9277,8622,59,202,20,87,82,205,24,181
"Fallon County, Montana",3051,2989,0,5,0,0,0,57,1,56
"Fergus County, Montana",11507,11122,11,188,4,0,47,135,0,135
"Flathead County, Montana",90967,87017,209,1416,508,27,218,1572,67,1505
"Gallatin County, Montana",90339,85949,344,926,920,53,418,1729,90,1639
"Garfield County, Montana",1100,1076,0,12,0,0,0,12,0,12
"Glacier County, Montana",13422,4244,1,8696,50,13,83,335,30,305
"Golden Valley County, Montana",769,766,0,0,0,0,1,2,0,2
"Granite County, Montana",3083,3011,4,17,10,0,0,41,1,40
"Hill County, Montana",16157,11917,33,3511,47,32,55,562,100,462
"Jefferson County, Montana",11360,10864,73,90,51,0,37,245,0,245
"Judith Basin County, Montana",2052,2026,0,5,0,0,2,19,0,19
"Lake County, Montana",28794,20215,60,6644,66,0,30,1779,19,1760
"Lewis and Clark County, Montana",63432,59516,266,1471,292,23,231,1633,142,1491
"Liberty County, Montana",2326,2246,8,33,0,14,15,10,0,10
"Lincoln County, Montana",19594,18831,54,383,95,0,16,215,6,209
"McCone County, Montana",1808,1764,0,2,0,0,0,42,0,42
"Madison County, Montana",7688,7453,15,22,41,12,31,114,6,108
"Meagher County, Montana",1900,1876,0,5,5,0,6,8,0,8
"Mineral County, Montana",4203,3994,95,90,11,0,4,9,9,0
"Missoula County, Montana",109402,101761,453,2811,1205,147,343,2682,146,2536
"Musselshell County, Montana",4597,4411,12,24,0,0,22,128,13,115
"Park County, Montana",15655,15140,24,86,6,2,15,382,35,347
"Petroleum County, Montana",566,536,21,0,0,0,0,9,0,9
"Phillips County, Montana",4203,3636,0,298,1,0,35,233,0,233
"Pondera County, Montana",6147,5105,30,882,14,0,26,90,0,90
"Powder River County, Montana",1639,1577,0,14,0,0,0,48,0,48
"Powell County, Montana",7067,6534,27,253,38,16,16,183,16,167
"Prairie County, Montana",1193,1143,0,33,0,1,0,16,0,16
"Ravalli County, Montana",40311,38841,111,382,207,0,84,686,28,658
"Richland County, Montana",9961,9529,43,175,0,0,61,153,0,153
"Roosevelt County, Montana",10477,3836,5,5626,17,0,40,953,0,953
"Rosebud County, Montana",9261,5720,47,3086,56,0,93,259,0,259
"Sanders County, Montana",11421,10484,26,639,30,0,43,199,43,156
"Sheridan County, Montana",3447,3286,6,43,1,0,0,111,5,106
"Silver Bow County, Montana",34164,32503,71,544,201,0,163,682,46,636
"Stillwater County, Montana",9096,8796,15,57,14,19,57,138,8,130
"Sweet Grass County, Montana",3661,3565,0,0,20,0,0,76,0,76
"Teton County, Montana",6082,5833,5,113,11,0,41,79,0,79
"Toole County, Montana",5210,4733,17,261,1,14,66,118,14,104
"Treasure County, Montana",698,617,0,3,10,0,39,29,0,29
"Valley County, Montana",7423,6464,9,804,8,3,12,123,0,123
"Wheatland County, Montana",2142,2096,0,9,0,0,3,34,0,34
"Wibaux County, Montana",899,890,9,0,0,0,0,0,0,0
"Yellowstone County, Montana",148191,134147,923,5872,1243,124,2610,3272,219,3053
"Adams County, Nebraska",31299,29659,204,126,412,6,410,482,64,418
"Antelope County, Nebraska",6655,6564,10,5,7,0,0,69,0,69
"Arthur County, Nebraska",490,487,0,0,0,0,0,3,0,3
"Banner County, Nebraska",778,748,14,0,2,0,5,9,0,9
"Blaine County, Nebraska",584,568,0,0,0,0,0,16,0,16
"Boone County, Nebraska",5473,5443,1,0,8,5,0,16,9,7
"Box Butte County, Nebraska",11345,10253,11,441,34,0,346,260,35,225
"Boyd County, Nebraska",2025,1992,20,3,0,0,3,7,0,7
"Brown County, Nebraska",3183,3131,4,0,6,0,0,42,0,42
"Buffalo County, Nebraska",46330,43319,332,74,509,0,1288,808,130,678
"Burt County, Nebraska",6829,6582,32,112,10,0,16,77,0,77
"Butler County, Nebraska",8345,8140,76,21,5,0,92,11,0,11
"Cass County, Nebraska",25214,24482,163,37,102,0,130,300,37,263
"Cedar County, Nebraska",8807,8714,12,19,15,0,0,47,0,47
"Chase County, Nebraska",3964,3883,1,0,0,0,19,61,43,18
"Cherry County, Nebraska",5722,5349,13,144,75,0,0,141,0,141
"Cheyenne County, Nebraska",10038,9698,28,63,191,0,6,52,16,36
"Clay County, Nebraska",6497,6343,14,66,0,27,16,31,6,25
"Colfax County, Nebraska",10453,9465,138,85,16,8,300,441,87,354
"Cuming County, Nebraska",9140,8749,43,6,13,0,217,112,4,108
"Custer County, Nebraska",10904,10650,15,9,0,0,59,171,10,161
"Dakota County, Nebraska",20869,14769,744,499,677,0,3894,286,180,106
"Dawes County, Nebraska",9176,8335,197,409,133,0,0,102,12,90
"Dawson County, Nebraska",24267,19722,789,133,118,0,3179,326,128,198
"Deuel County, Nebraska",1962,1936,7,2,0,0,0,17,7,10
"Dixon County, Nebraska",5982,5810,19,33,0,0,70,50,0,50
"Dodge County, Nebraska",36590,35222,131,234,183,51,271,498,30,468
"Douglas County, Nebraska",518271,405196,58444,3512,13566,344,22053,15156,2226,12930
"Dundy County, Nebraska",1996,1981,3,0,5,0,4,3,0,3
"Fillmore County, Nebraska",5867,5692,57,29,9,0,46,34,14,20
"Franklin County, Nebraska",3196,3141,7,10,5,0,3,30,5,25
"Frontier County, Nebraska",2693,2657,7,6,0,0,4,19,0,19
"Furnas County, Nebraska",4922,4803,7,61,4,0,25,22,5,17
"Gage County, Nebraska",22209,21624,41,37,84,12,45,366,17,349
"Garden County, Nebraska",2011,1960,0,0,13,2,0,36,0,36
"Garfield County, Nebraska",2106,2078,13,0,0,0,0,15,0,15
"Gosper County, Nebraska",2020,1937,12,22,0,0,30,19,11,8
"Grant County, Nebraska",608,607,0,0,0,0,0,1,0,1
"Greeley County, Nebraska",2515,2495,14,3,0,0,0,3,0,3
"Hall County, Nebraska",58681,53936,1191,486,592,0,1766,710,181,529
"Hamilton County, Nebraska",9096,8950,16,15,7,0,15,93,34,59
"Harlan County, Nebraska",3419,3364,3,12,0,0,12,28,0,28
"Hayes County, Nebraska",1037,1019,2,0,6,0,3,7,0,7
"Hitchcock County, Nebraska",2898,2848,3,12,7,0,8,20,0,20
"Holt County, Nebraska",10418,10097,2,78,19,0,187,35,5,30
"Hooker County, Nebraska",689,680,0,2,5,0,1,1,0,1
"Howard County, Nebraska",6294,6181,36,38,9,0,14,16,0,16
"Jefferson County, Nebraska",7572,7437,5,32,47,0,7,44,0,44
"Johnson County, Nebraska",5188,4663,279,17,51,0,80,98,6,92
"Kearney County, Nebraska",6514,6404,4,8,43,0,17,38,6,32
"Keith County, Nebraska",8284,7948,17,43,13,33,77,153,40,113
"Keya Paha County, Nebraska",742,731,0,0,6,0,0,5,0,5
"Kimball County, Nebraska",3789,3634,30,57,3,0,42,23,0,23
"Knox County, Nebraska",8648,7699,42,712,26,0,43,126,2,124
"Lancaster County, Nebraska",286425,253964,10535,1887,10442,206,2332,7059,603,6456
"Lincoln County, Nebraska",36212,34094,242,59,189,2,653,973,461,512
"Logan County, Nebraska",724,724,0,0,0,0,0,0,0,0
"Loup County, Nebraska",534,495,0,4,0,0,18,17,0,17
"McPherson County, Nebraska",348,348,0,0,0,0,0,0,0,0
"Madison County, Nebraska",34766,32498,442,595,205,49,558,419,54,365
"Merrick County, Nebraska",7779,7562,41,42,10,0,21,103,8,95
"Morrill County, Nebraska",4993,4819,4,27,21,0,32,90,25,65
"Nance County, Nebraska",3730,3684,4,3,0,0,27,12,0,12
"Nemaha County, Nebraska",7224,6981,60,50,33,0,44,56,0,56
"Nuckolls County, Nebraska",4490,4420,18,0,10,0,0,42,0,42
"Otoe County, Nebraska",15729,15288,23,40,56,0,52,270,47,223
"Pawnee County, Nebraska",2753,2730,0,5,0,0,0,18,1,17
"Perkins County, Nebraska",2947,2925,0,0,0,0,5,17,0,17
"Phelps County, Nebraska",9184,8995,11,27,32,11,4,104,0,104
"Pierce County, Nebraska",7231,7099,6,26,17,0,14,69,17,52
"Platte County, Nebraska",32195,30786,90,40,92,0,551,636,101,535
"Polk County, Nebraska",5371,5216,8,8,8,0,61,70,0,70
"Red Willow County, Nebraska",11013,10692,92,64,44,0,37,84,24,60
"Richardson County, Nebraska",8355,7911,14,87,24,0,11,308,0,308
"Rock County, Nebraska",1540,1496,12,0,5,0,6,21,0,21
"Saline County, Nebraska",14278,13340,190,48,95,0,312,293,77,216
"Sarpy County, Nebraska",159413,142252,6487,677,3209,221,1892,4675,392,4283
"Saunders County, Nebraska",20696,20214,57,69,51,0,108,197,0,197
"Scotts Bluff County, Nebraska",36835,34089,235,511,253,20,1012,715,176,539
"Seward County, Nebraska",16729,16213,82,13,132,0,147,142,38,104
"Sheridan County, Nebraska",5432,4680,9,395,29,0,4,315,5,310
"Sherman County, Nebraska",3133,3094,30,7,2,0,0,0,0,0
"Sioux County, Nebraska",1262,1224,0,0,0,0,10,28,14,14
"Stanton County, Nebraska",6139,5854,23,26,57,0,36,143,0,143
"Thayer County, Nebraska",5195,5097,6,5,2,0,3,82,16,66
"Thomas County, Nebraska",831,789,6,8,14,0,0,14,0,14
"Thurston County, Nebraska",6926,2765,33,3919,28,8,12,161,2,159
"Valley County, Nebraska",4322,4240,1,11,0,0,25,45,4,41
"Washington County, Nebraska",20201,19718,100,35,46,32,40,230,45,185
"Wayne County, Nebraska",9542,9123,137,0,45,0,122,115,0,115
"Webster County, Nebraska",3773,3659,4,0,67,6,4,33,13,20
"Wheeler County, Nebraska",725,685,0,0,0,0,36,4,0,4
"York County, Nebraska",13727,13000,86,60,48,32,302,199,33,166
"Churchill County, Nevada",24779,20441,447,1249,785,60,1019,778,277,501
"Clark County, Nevada",1954773,1337840,203875,11640,169472,13250,137234,81462,13107,68355
"Douglas County, Nevada",47056,42561,190,1009,501,87,1075,1633,56,1577
"Elko County, Nevada",49133,43614,501,2658,500,78,992,790,160,630
"Esmeralda County, Nevada",916,826,7,28,0,0,43,12,0,12
"Eureka County, Nevada",1809,1672,11,70,0,6,39,11,11,0
"Humboldt County, Nevada",16511,14539,51,908,126,6,573,308,1,307
"Lander County, Nevada",5751,5285,8,232,18,0,54,154,49,105
"Lincoln County, Nevada",5282,4787,159,266,13,3,14,40,0,40
"Lyon County, Nevada",51797,45453,498,1454,793,199,1835,1565,414,1151
"Mineral County, Nevada",4718,3617,85,628,84,2,125,177,0,177
"Nye County, Nevada",43801,39416,1027,920,621,122,954,741,46,695
"Pershing County, Nevada",6707,5732,282,193,30,5,237,228,17,211
"Storey County, Nevada",4010,3783,15,54,19,10,5,124,1,123
"Washoe County, Nevada",422010,345079,10372,6765,21573,2523,21455,14243,2761,11482
"White Pine County, Nevada",9967,8577,242,766,39,16,125,202,13,189
"Carson City, Nevada",55184,46852,535,1221,1671,105,3523,1277,160,1117
"Belknap County, New Hampshire",60206,58087,396,81,680,0,121,841,121,720
"Carroll County, New Hampshire",47761,46531,63,190,250,0,69,658,2,656
"Cheshire County, New Hampshire",77106,74213,450,242,963,0,261,977,135,842
"Coos County, New Hampshire",32872,31875,195,128,123,0,92,459,51,408
"Grafton County, New Hampshire",88985,83441,859,275,2588,6,264,1552,106,1446
"Hillsborough County, New Hampshire",401101,366151,8321,635,13390,120,5522,6962,925,6037
"Merrimack County, New Hampshire",146742,140170,1517,248,2249,26,345,2187,83,2104
"Rockingham County, New Hampshire",295872,283117,2284,335,5134,37,1110,3855,324,3531
"Strafford County, New Hampshire",123295,115715,1098,263,3054,0,719,2446,143,2303
"Sullivan County, New Hampshire",43534,42140,156,73,253,14,188,710,60,650
"Atlantic County, New Jersey",274402,180960,44727,867,20948,142,18154,8604,3156,5448
"Bergen County, New Jersey",906781,666754,50694,1507,132801,107,36516,18402,4398,14004
"Burlington County, New Jersey",449117,333460,72612,528,19759,122,9004,13632,2059,11573
"Camden County, New Jersey",513660,332006,97391,2205,26329,133,39953,15643,4382,11261
"Cape May County, New Jersey",96987,88060,4685,523,944,7,1476,1292,237,1055
"Cumberland County, New Jersey",156864,100432,31654,1530,2060,6,15365,5817,2049,3768
"Essex County, New Jersey",783840,339640,317719,2084,36585,534,60371,26907,5256,21651
"Gloucester County, New Jersey",288187,239402,28656,460,7763,61,5265,6580,1033,5547
"Hudson County, New Jersey",636194,355293,82956,2522,85911,311,90564,18637,7148,11489
"Hunterdon County, New Jersey",127996,116882,3366,90,4101,228,1820,1509,244,1265
"Mercer County, New Jersey",366442,232853,73852,1030,32978,49,18709,6971,1486,5485
"Middlesex County, New Jersey",811064,509495,76560,1440,176635,254,29248,17432,5422,12010
"Monmouth County, New Jersey",629263,525127,46100,1751,31963,30,10857,13435,1693,11742
"Morris County, New Jersey",493472,407897,15367,923,44934,79,15373,8899,2604,6295
"Ocean County, New Jersey",575961,526812,17700,869,9873,70,11172,9465,2235,7230
"Passaic County, New Jersey",500168,329232,62737,1420,25657,68,66561,14493,3160,11333
"Salem County, New Jersey",66007,52871,9535,155,649,3,1594,1200,192,1008
"Somerset County, New Jersey",323650,229327,28280,492,46139,45,12887,6480,1322,5158
"Sussex County, New Jersey",148962,139363,2950,306,2649,11,1612,2071,631,1440
"Union County, New Jersey",536383,317464,115746,862,24696,332,68251,9032,3116,5916
"Warren County, New Jersey",108488,97693,4020,138,2641,0,2277,1719,454,1265
"Bernalillo County, New Mexico",661924,462080,18731,30332,14963,606,109996,25216,9500,15716
"Catron County, New Mexico",3686,3376,0,136,0,0,107,67,49,18
"Chaves County, New Mexico",65343,53373,1036,751,470,31,6699,2983,722,2261
"Cibola County, New Mexico",27293,12865,116,11431,52,34,2034,761,217,544
"Colfax County, New Mexico",13614,10981,83,475,58,0,1625,392,234,158
"Curry County, New Mexico",48101,33410,3081,800,641,49,8767,1353,388,965
"De Baca County, New Mexico",2069,1624,2,0,0,0,395,48,7,41
"Do–a Ana County, New Mexico",208794,186963,3340,2345,2378,13,10205,3550,1426,2124
"Eddy County, New Mexico",53693,46503,287,772,16,84,3776,2255,529,1726
"Grant County, New Mexico",29602,22602,129,748,139,0,5331,653,234,419
"Guadalupe County, New Mexico",4655,3293,76,112,1,9,1073,91,14,77
"Harding County, New Mexico",612,523,0,8,4,0,68,9,1,8
"Hidalgo County, New Mexico",4903,4004,67,22,0,0,751,59,28,31
"Lea County, New Mexico",64670,55487,2520,578,181,0,4331,1573,525,1048
"Lincoln County, New Mexico",20440,17297,82,317,10,8,1885,841,210,631
"Los Alamos County, New Mexico",18008,15932,78,60,1021,18,360,539,96,443
"Luna County, New Mexico",25162,22815,222,241,52,19,1332,481,174,307
"McKinley County, New Mexico",71888,12146,433,53553,506,38,2988,2224,378,1846
"Mora County, New Mexico",4830,3672,2,118,0,0,959,79,4,75
"Otero County, New Mexico",64176,50689,2487,4413,908,53,3635,1991,585,1406
"Quay County, New Mexico",8956,7713,97,216,47,8,671,204,64,140
"Rio Arriba County, New Mexico",40201,28827,166,5899,177,7,4546,579,278,301
"Roosevelt County, New Mexico",19840,15281,470,267,193,0,3372,257,70,187
"Sandoval County, New Mexico",131302,95072,3879,16678,1750,100,10020,3803,1270,2533
"San Juan County, New Mexico",128600,69170,860,47668,480,153,6505,3764,1301,2463
"San Miguel County, New Mexico",29225,22283,405,550,81,37,5087,782,388,394
"Santa Fe County, New Mexico",144209,123374,1265,4119,1696,22,10129,3604,1310,2294
"Sierra County, New Mexico",11956,10893,79,181,0,0,572,231,39,192
"Socorro County, New Mexico",17843,14155,204,1988,175,25,1019,277,155,122
"Taos County, New Mexico",32775,18757,158,1945,254,4,10225,1432,1039,393
"Torrance County, New Mexico",16285,14584,82,254,71,0,962,332,165,167
"Union County, New Mexico",4460,3305,206,94,6,0,671,178,47,131
"Valencia County, New Mexico",76172,49592,991,2714,525,26,20093,2231,1378,853
"Albany County, New York",304511,237873,38343,593,14654,95,5366,7587,1376,6211
"Allegany County, New York",48837,46960,627,155,529,19,160,387,80,307
"Bronx County, New York",1386364,312055,481739,7196,49489,308,488156,47421,27884,19537
"Broome County, New York",199928,176883,9327,658,7008,30,1709,4313,417,3896
"Cattaraugus County, New York",80166,74589,1111,2206,597,21,289,1353,60,1293
"Cayuga County, New York",79996,74104,3478,261,474,3,432,1244,92,1152
"Chautauqua County, New York",134599,125574,3161,699,894,119,1868,2284,436,1848
"Chemung County, New York",88779,79138,5446,231,984,0,282,2698,265,2433
"Chenango County, New York",50490,48781,284,32,150,0,240,1003,112,891
"Clinton County, New York",82054,75715,3435,283,853,54,634,1080,174,906
"Columbia County, New York",62881,57054,2823,103,1011,0,410,1480,102,1378
"Cortland County, New York",49453,46737,768,151,498,42,443,814,91,723
"Delaware County, New York",47851,45527,763,112,407,3,460,579,86,493
"Dutchess County, New York",297291,235943,29134,684,11167,51,13229,7083,1061,6022
"Erie County, New York",919542,736093,122004,4793,24746,143,14411,17352,2290,15062
"Essex County, New York",39309,36708,1185,53,167,11,653,532,52,480
"Franklin County, New York",51698,43360,3333,2798,552,30,689,936,145,791
"Fulton County, New York",55358,52865,868,105,403,0,330,787,57,730
"Genesee County, New York",59992,55716,1603,558,339,11,593,1172,2,1170
"Greene County, New York",49122,44467,2919,60,411,0,391,874,154,720
"Hamilton County, New York",4835,4692,39,0,10,0,13,81,4,77
"Herkimer County, New York",64475,62338,610,161,332,51,333,650,55,595
"Jefferson County, New York",117011,102535,5629,436,1737,351,2201,4122,853,3269
"Kings County, New York",2512740,1119881,859622,8247,266557,1372,209788,47273,14215,33058
"Lewis County, New York",27062,26434,248,56,59,0,64,201,18,183
"Livingston County, New York",65215,61181,1582,160,749,19,430,1094,85,1009
"Madison County, New York",72977,69358,1353,501,543,3,229,990,51,939
"Monroe County, New York",744746,570868,112370,1998,24542,238,17788,16942,3226,13716
"Montgomery County, New York",50025,45715,847,141,362,18,1906,1036,272,764
"Nassau County, New York",1338712,973573,148771,2310,103765,81,81435,28777,10400,18377
"New York County, New York",1596735,909145,247743,5012,178673,804,192325,63033,15112,47921
"Niagara County, New York",215869,191753,15345,1985,2268,99,830,3589,430,3159
"Oneida County, New York",234336,203928,13212,459,7049,89,3864,5735,946,4789
"Onondaga County, New York",466179,380600,50499,3557,14702,50,4564,12207,1667,10540
"Ontario County, New York",107728,101122,2416,211,1244,0,674,2061,260,1801
"Orange County, New York",372951,288487,37428,1175,9453,20,25785,10603,2760,7843
"Orleans County, New York",42995,38500,2640,268,230,2,571,784,117,667
"Oswego County, New York",122055,117371,1071,355,756,5,825,1672,169,1503
"Otsego County, New York",62147,58869,1191,57,683,0,394,953,71,882
"Putnam County, New York",99702,89418,2064,270,2006,0,3826,2118,669,1449
"Queens County, New York",2235008,950264,421540,9475,522638,1356,260286,69449,27845,41604
"Rensselaer County, New York",159464,140475,9074,210,3449,39,1351,4866,376,4490
"Richmond County, New York",468374,354836,48635,813,36292,26,18866,8906,2354,6552
"Rockland County, New York",312011,226906,38105,670,20118,74,21403,4735,1742,2993
"St. Lawrence County, New York",112060,104807,3036,561,1141,82,834,1599,330,1269
"Saratoga County, New York",219832,207694,3197,320,3841,48,793,3939,475,3464
"Schenectady County, New York",154466,124632,14996,604,5678,123,3709,4724,626,4098
"Schoharie County, New York",32617,31271,443,98,224,0,222,359,69,290
"Schuyler County, New York",18472,17927,212,31,40,0,37,225,6,219
"Seneca County, New York",35306,32695,1686,144,201,0,82,498,45,453
"Steuben County, New York",98992,94265,1754,238,1337,0,417,981,125,856
"Suffolk County, New York",1492360,1227708,110478,3486,52009,297,71037,27345,8617,18728
"Sullivan County, New York",77340,62970,6668,337,1197,0,3299,2869,645,2224
"Tioga County, New York",51067,49443,347,143,302,0,160,672,16,656
"Tompkins County, New York",101570,84172,3969,310,9391,19,1034,2675,291,2384
"Ulster County, New York",182516,160024,10438,424,3131,24,2872,5603,698,4905
"Warren County, New York",65700,63459,648,292,518,65,243,475,77,398
"Washington County, New York",63108,59603,1939,75,307,35,393,756,29,727
"Wayne County, New York",93476,87495,3467,284,587,0,576,1067,190,877
"Westchester County, New York",950227,642623,136936,1741,51797,144,90239,26747,7415,19332
"Wyoming County, New York",42092,38432,2440,121,183,0,516,400,58,342
"Yates County, New York",25351,24657,216,33,105,3,61,276,23,253
"Alamance County, North Carolina",151170,105718,27279,374,1910,154,11723,4012,711,3301
"Alexander County, North Carolina",37014,32871,2021,87,314,9,1164,548,19,529
"Alleghany County, North Carolina",11069,10276,128,36,32,10,425,162,0,162
"Anson County, North Carolina",26699,12687,12968,174,301,0,318,251,7,244
"Ashe County, North Carolina",27099,25561,109,136,69,0,867,357,88,269
"Avery County, North Carolina",17815,15503,705,135,133,57,321,961,31,930
"Beaufort County, North Carolina",47542,32475,12440,45,88,1,1869,624,87,537
"Bertie County, North Carolina",21035,7456,13247,61,112,4,74,81,0,81
"Bladen County, North Carolina",34922,20176,11918,788,46,0,1055,939,67,872
"Brunswick County, North Carolina",107925,91265,12134,311,482,97,1208,2428,104,2324
"Buncombe County, North Carolina",239000,211727,15326,951,2484,194,2627,5691,1026,4665
"Burke County, North Carolina",90821,77635,6068,247,3023,28,2072,1748,251,1497
"Cabarrus County, North Carolina",178396,139602,27464,724,3624,14,3293,3675,458,3217
"Caldwell County, North Carolina",82493,74276,3928,289,477,74,2295,1154,81,1073
"Camden County, North Carolina",9965,8191,1305,133,186,0,78,72,0,72
"Carteret County, North Carolina",66415,58957,4341,364,624,5,985,1139,96,1043
"Caswell County, North Carolina",23615,14783,7926,132,21,0,296,457,69,388
"Catawba County, North Carolina",154201,127427,13112,571,5305,40,4700,3046,551,2495
"Chatham County, North Carolina",63896,50154,8586,215,809,10,3209,913,207,706
"Cherokee County, North Carolina",27304,25427,267,507,155,4,353,591,51,540
"Chowan County, North Carolina",14825,9323,5064,124,109,0,172,33,0,33
"Clay County, North Carolina",10575,10169,82,38,21,0,186,79,50,29
"Cleveland County, North Carolina",97890,74895,20476,188,860,0,480,991,88,903
"Columbus County, North Carolina",57612,35334,17588,1786,73,12,1895,924,27,897
"Craven County, North Carolina",102904,72226,22465,395,2120,192,2546,2960,343,2617
"Cumberland County, North Carolina",319329,165619,114520,3282,7323,1007,9216,18362,1836,16526
"Currituck County, North Carolina",23677,21443,1485,48,100,0,81,520,51,469
"Dare County, North Carolina",34019,31611,1416,187,29,0,539,237,17,220
"Davidson County, North Carolina",162628,139671,14912,738,2187,22,3242,1856,491,1365
"Davie County, North Carolina",41183,36119,2811,146,169,33,1552,353,16,337
"Duplin County, North Carolina",58510,33479,14888,56,196,0,9014,877,310,567
"Durham County, North Carolina",269283,131635,100777,1086,12003,94,16262,7426,843,6583
"Edgecombe County, North Carolina",56253,21988,32199,261,66,13,1116,610,8,602
"Forsyth County, North Carolina",351368,229686,92066,767,6641,31,16315,5862,1093,4769
"Franklin County, North Carolina",60470,40547,15602,397,287,7,2341,1289,126,1163
"Gaston County, North Carolina",206291,160843,31084,965,2665,21,7395,3318,350,2968
"Gates County, North Carolina",12069,7666,4129,21,39,0,87,127,0,127
"Graham County, North Carolina",8766,7864,48,505,84,14,83,168,35,133
"Granville County, North Carolina",59666,36140,19455,258,380,14,2372,1047,217,830
"Greene County, North Carolina",21386,10624,7906,131,55,0,1988,682,308,374
"Guilford County, North Carolina",489576,282773,160319,2486,20137,88,14270,9503,1072,8431
"Halifax County, North Carolina",54693,21959,28074,1711,340,8,539,2062,99,1963
"Harnett County, North Carolina",115559,80169,23909,1023,1098,26,4782,4552,536,4016
"Haywood County, North Carolina",58915,56326,554,317,223,8,531,956,83,873
"Henderson County, North Carolina",106577,96600,3595,542,1139,0,2751,1950,815,1135
"Hertford County, North Carolina",24525,8814,14681,346,157,1,143,383,6,377
"Hoke County, North Carolina",47368,22299,16220,4097,601,108,1824,2219,224,1995
"Hyde County, North Carolina",5810,3453,2009,33,7,0,303,5,5,0
"Iredell County, North Carolina",159614,131158,19306,548,2978,15,3115,2494,263,2231
"Jackson County, North Carolina",39985,33714,814,3681,276,52,664,784,74,710
"Johnston County, North Carolina",169122,132547,25445,520,834,0,5817,3959,411,3548
"Jones County, North Carolina",10144,6321,3261,40,12,67,242,201,0,201
"Lee County, North Carolina",57876,38505,11469,304,622,23,5853,1100,354,746
"Lenoir County, North Carolina",59372,31686,24123,123,254,7,2134,1045,166,879
"Lincoln County, North Carolina",78052,70721,4263,204,443,0,1157,1264,279,985
"McDowell County, North Carolina",44926,41380,1638,132,417,11,655,693,144,549
"Macon County, North Carolina",33815,31663,308,102,241,12,1223,266,0,266
"Madison County, North Carolina",20727,19919,269,67,95,0,169,208,9,199
"Martin County, North Carolina",24298,12910,10497,84,44,5,443,315,39,276
"Mecklenburg County, North Carolina",926873,537507,282309,3670,43659,672,36505,22551,2942,19609
"Mitchell County, North Carolina",15539,15122,127,38,41,10,111,90,0,90
"Montgomery County, North Carolina",27741,21052,5242,135,446,0,646,220,21,199
"Moore County, North Carolina",88314,72722,11639,587,777,7,1088,1494,88,1406
"Nash County, North Carolina",95545,53751,35412,497,775,0,2893,2217,488,1729
"New Hanover County, North Carolina",203276,163535,29755,754,2742,89,2804,3597,244,3353
"Northampton County, North Carolina",21959,8775,12556,24,16,16,54,518,10,508
"Onslow County, North Carolina",176461,131513,29023,1180,3071,389,5408,5877,1070,4807
"Orange County, North Carolina",133958,102023,15699,425,9089,19,3226,3477,453,3024
"Pamlico County, North Carolina",13145,10114,2537,66,42,0,42,344,2,342
"Pasquotank County, North Carolina",40551,23357,15656,27,470,7,558,476,48,428
"Pender County, North Carolina",52447,40013,9637,202,237,8,1694,656,189,467
"Perquimans County, North Carolina",13414,9589,3471,0,2,0,68,284,23,261
"Person County, North Carolina",39322,27065,10801,269,135,0,716,336,108,228
"Pitt County, North Carolina",167951,100209,56980,432,2638,0,3859,3833,434,3399
"Polk County, North Carolina",20386,18768,1038,11,76,0,345,148,16,132
"Randolph County, North Carolina",141568,124563,7858,519,1403,4,5039,2182,121,2061
"Richmond County, North Carolina",46608,28978,14235,1263,265,0,1141,726,8,718
"Robeson County, North Carolina",133920,41535,32256,50448,1072,86,5150,3373,401,2972
"Rockingham County, North Carolina",93264,70534,17471,273,423,46,2699,1818,101,1717
"Rowan County, North Carolina",138189,106969,22624,711,1375,44,4302,2164,324,1840
"Rutherford County, North Carolina",67446,58319,6782,262,355,0,833,895,69,826
"Sampson County, North Carolina",63408,36408,16963,1061,258,46,7198,1474,324,1150
"Scotland County, North Carolina",36266,17114,14029,3567,330,5,233,988,66,922
"Stanly County, North Carolina",60489,51333,6548,148,1184,5,337,934,36,898
"Stokes County, North Carolina",47224,44254,2000,289,111,0,198,372,68,304
"Surry County, North Carolina",73551,67694,2871,338,246,28,1221,1153,393,760
"Swain County, North Carolina",13995,9447,362,3269,37,0,263,617,44,573
"Transylvania County, North Carolina",32825,30233,1210,144,158,0,407,673,118,555
"Tyrrell County, North Carolina",4367,2430,1579,37,90,10,85,136,0,136
"Union County, North Carolina",201617,164971,23715,882,3206,70,5571,3202,640,2562
